NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Tip lucrare,Variante de ocolire,viz_name,map_zoom
6.11,DN1,7+200,7+400,2026-05-11 09:38:00,2026-12-31 23:59:00, - ,"Se desfasoara lucrari pentru constructia liniei de metrou care va asigura legatura cu Aeroportul International Henri Coanda Bucuresti.Pe durata executarii lucrarilor, circulatia rutiera pe DN1, intre kilometrii 7+200 si 7+400, se va desfasura pe cate doua benzi din trei, pe ambele sensuri de mers.Conducatorii auto sunt rugati sa circule cu prudenta, sa respecte semnalizarea temporara instituita in zona si indicatiile politistilor rutieri.",,DN1,"['7', '200', '7', '400']"
6.12,DN10,67+190,67+190,2026-03-14 16:29:00,2026-07-31 17:00:00,NEHOIU (BZ) - NEHOIU (BZ),"Punerea in siguranta a traficului auto si pietonal pe tronsonul DN10, km 67+190, peste Nehoiu la Nehoiu, oras Nehoiu, jud. Buzau","Circulatie pietonala - inchisa(stanga). Circulatie autoturisme - ingreunataIntre km 67+090 - km 67+280: restrictie de tonaj (MTMA<30 tone) si limitarea vitezei la 30 km/hDrum ingustat, circulatie pe o singura banda, prioritate sens Buzau - BrasovIntre km 67+127 - km 67+212: limitarea vitezei la 10 km/h",DN10,"['67', '190', '67', '190']"
6.13,DN10,2+100,13+890,2026-04-15 10:33:00,2026-07-31 23:59:00,VERNESTI (BZ) - CANDESTI (BZ),"Proiect regional de dezvoltare a structurii de apa si apa uzata din judetul Buzau in perioada 2014-2020,   U.A.T. Vernesti. Aviz restrictie circulatie DRDP Buzau nr: 11002/15.04.2025","Circulatia se va desfasura prin devierea alternativa, fara inchiderea traficului rutier.Se aplica scheme de semnalizare pentru:- Lucrari la care circulatia se desfasoara simultan in ambele sensuri.- Circulatia alternanta dirijata prin indicatoare la lucrari pe maxim 1/2 din cale.- Circulatia alternanta dirijata cu piloti la lucrari pe maxim 1/2 din cale.- Semnalizarea punctelor de lucru a caror pozitie se modifica in cursul zilei.- Semnalizarea punctelor de lucru a caror pozitie se modifica in cursul zilei.La km 5+498 exista un contor de trafic de tip ISAF iar lucrarile se vor executa manual pentru a evita distrugerea buclelor inductive",DN10,"['2', '100', '13', '890']"
6.14,DN10,76+795,76+870,2026-06-16 00:29:00,2026-12-31 23:59:00,LUNCA JARISTEI (BZ) - LUNCA JARISTEI (BZ),"Tasare, crapaturi si fisuri longitudinale in imbracamintea asfaltica.","Circulatie alternativa, semaforizata",DN10,"['76', '795', '76', '870']"
6.15,DN13,19+000,23+800,2026-07-17 08:00:00,2026-07-21 16:00:00,FELDIOARA (FELDIOARA) (BV) - ROTBAV (BV),Lucrari de reparatii parte carosabila,Trafic cu piloti de dirijare,DN13,"['19', '0', '23', '800']"
6.16,DN18,65+000,69+110,2026-06-29 09:00:00,2026-07-31 18:00:00,SIGHETU MARMATIEI (MM) - SIGHETU MARMATIEI (MM),Lucrari si servicii privind intretinerea periodica a drumurilor publice - Covoare bituminoase MAS 16 cu frezare 4 cm.,"Circulatia se desfasoara alternativ in zona sectorului de lucru, cu semnalizare corespunzatoare.",DN18,"['65', '0', '69', '110']"
6.17,DN19,230+850,235+982,2026-06-29 09:00:00,2026-07-31 18:00:00,SIGHETU MARMATIEI (MM) - SIGHETU MARMATIEI (MM),Lucrari si servicii privind intretinerea periodica a drumurilor publice - Covoare bituminoase MAS 16 cu frezare 4 cm.,"Circulatia se desfasoara alternativ in zona sectorului de lucru, cu semnalizare corespunzatoare.",DN19,"['230', '850', '235', '982']"
6.18,DN19A,0+000,44+110,2026-06-29 09:00:00,2026-08-31 18:00:00,SUPURU DE JOS (SM) - SATU MARE (SM),Lucrari de intretinere periodica pe timp de vara - Straturi bituminoase foarte subtiri executate la rece,"Circulatia se desfasoara alternativ in zona sectorului de lucru, cu semnalizare corespunzatoare.",DN19A,"['0', '0', '44', '110']"
6.19,DN1A,12+252,64+400,2026-07-14 10:00:00,2026-09-30 23:59:00,BUCURESTI (B) - PLOIESTI (PH),"Realizarea lucrarilor de largire la 4 benzi.Restrictionarea traficului pe DN 1A , pe sectorul cuprims intre km 12+252 (Centura Bucuresti) - km 64+400 (Centura Ploiesti Vest), pentru autovehiculele cu MTMA mai mare de 7,5 tone.Lucrarea este semnalizata conform normelor metodologice in vigoare.","Rutele alternative, pentru relatia de deplasare Bucuresti - Ploiesti si retur:Traficul rutier va fi deviat pe DN CB (Centura Bucuresti) - Autostrada A3 (Bucuresti - Ploiesti) - DN CPV (Centura Ploiesti Vest).",DN1A,"['12', '252', '64', '400']"
6.2,DN1C,94+000,104+000,2026-06-29 09:00:00,2026-08-15 18:00:00,DABACENI (SJ) - PERII VADULUI (SJ),Lucrari de intretinere periodica pe timp de vara - Straturi bituminoase foarte subtiri executate la rece.,"Circulatia se desfasoara alternativ in zona sectorului de lucru, cu semnalizare corespunzatoare.",DN1C,"['94', '0', '104', '0']"
6.21,DN2,168+486,171+398,2026-02-18 17:45:00,2026-07-31 23:59:00,POPESTI (VN) - POPESTI (VN),"Infiintare sistem inteligent de distributie gaze naturale in comunele Urechesti, Gugesti, Popesti, judetul Vrancea","Circulatia se va desfasura prin deviere alternativa, fara inchiderea traficului rutier.Lucrarile vor fi  realizate pe acostamentul consolidat, astfel incat banda de circulatie sa ramana libera si circulatia rutiera sa se desfasoare pe ambele sensuriSe aplica scheme de semnalizare pentru: - circulatia alternanta dirijata prin indicatoare, la lucrari de maximum1/2 din cale - semnalizarea punctelor de lucru a caror pozitie se modifica in cursul zilei",DN2,"['168', '486', '171', '398']"
6.22,DN25,48+542,48+542,2025-12-29 00:00:00,2026-12-31 23:59:00,PISCU (GL) - ,"Se instituie restrictii de circulatie pe podul peste paraul Suhurlui, comuna Piscu, judetul Galati.Masura este luata in urma unei expertize tehnice care a constatat degradari ale structurii si prabusirea consolelor de trotuar.","Pentru siguranta tuturor participantilor la trafic, au fost dispuse urmatoarele modificari:- Limitare de tonaj: Maximum 15 tone (inlocuieste vechea restrictie de 30 tone).- Limitare de viteza: Maximum 5 km/h pe sectorul podului.Rute ocolitoare:Rugam conducatorii vehiculelor cu masa mai mare de 15 tone sa respecte indicatoarele de orientare si rutele ocolitoare semnalizate in zona. Indicatoarele de informare au fost montate pe toate arterele care se intersecteaza cu sectorul restrictionat.",DN25,"['48', '542', '48', '542']"
