NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Cauza,Masuri de remediere,viz_name,map_zoom
3.1,DN19B,21+000,41+000,2024-11-22 13:00:00,2024-11-22 16:00:00,MARGHITA (BH) - MARGHITA (BH),"Restrictie de circulatie la 7,5 TO din cauza conditiilor meteo.","Prezenti la fata locului: Colegii de la SDN Oradea , politia.",DN19B,"['21', '0', '41', '0']"
3.2,DN1H,0+000,40+126,2024-11-22 08:43:00,2024-11-22 23:59:00,SINTEU (BH) - NUSFALAU (SJ),"Restrictie de circulatie la 7,5 TO din cauza tirurilor neechipate corespunzator, ingreunand activitatea de deszapezire.","Prezenta la fata locului: Colegii de la SDN Oradea / SDN Zalau, politia.",DN1H,"['0', '0', '40', '126']"
