title,link_url,angajator,tip,publicat,expira,locatie_name,locatie_url,dosar
Administrator,administrator-31/,"Institutul de matematica ""Simion stoilow"" al academiei romane","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Bucureşti,Bucureşti,Permanent
muncitor calificat III (ÎNTREȚINERE); MUNCITOR CALIFICAT III (BUCĂTAR),muncitor-calificat-iii-intretinere-muncitor-calificat-iiibucatar/,DGASPC TIMIȘ,"Funcție contractuală, Instituții județene, Funcții de execuție",04/09/2023,15/09/2023,Timiş,Timiş,Permanent
MUNCITOR CALIFICAT BUCATARIE,muncitor-calificat-bucatarie/,LICEUL TEHNOLOGIC DE VEST,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,15/09/2023,Timiş,Timiş,Permanent
"infirmier post vacant, pe perioadă nedeterminată",infirmier-post-vacant-pe-perioada-nedeterminata-2/,"Primăria comunei Benesat,  județul Sălaj, ","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Sălaj,Sălaj,Permanent
medic specialist specialitatea hematologie – Ambulatoriul Integrat cu cabinete de specialitate,medic-specialist-specialitatea-hematologie-ambulatoriul-integrat-cu-cabinete-de-specialitate-2/,spitalul Clinic Judetean de Urgenta pius brinzeu din timisoara,"Alte functii, Instituții județene, Funcții de execuție",04/09/2023,18/09/2023,Timiş,Timiş,Permanent
director medical,director-medical-21/,spitalul municipal codlea,"Funcție contractuală, Instituții locale, Funcții de conducere",04/09/2023,18/09/2023,Braşov,Braşov,Temporar
"administrator financiar (contabil șef) I S, post temporar vacant, pe perioadă determinată",administrator-financiar-contabil-sef-i-s-post-temporar-vacant-pe-perioada-determinata/,"Școala Gimnazială „Alexandru Piru”,  Mărgineni,  județul Bacău","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,11/09/2023,Bacău,Bacău,Temporar
Inspector de specialitate debutant,inspector-de-specialitate-debutant-10/,"Direcția de Asistenţă Socială Baia Mare, județul Maramureș","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,15/09/2023,Maramureş,Maramureş,Permanent
ÎNGRIJITOR,ingrijitor-361/,"Colegiul Național „Frații Buzești”, Craiova, județul Dolj","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Dolj,Dolj,Permanent
PSIHOLOG STAGIAR,psiholog-stagiar-5/,Directia de Asistenta sociala a orasului targu-neamt,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,15/09/2023,Neamţ,Neamţ,Permanent
SECRETAR ȘEF,secretar-sef-31/,Școala Gimnazială „Geo Bogza”,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
medic specialist specialitatea neurologie – Sectia clinica neurologie I,medic-specialist-specialitatea-neurologie-sectia-clinica-neurologie-i/,spitalul Clinic Judetean de Urgenta pius brinzeu din timisoara,"Alte functii, Instituții județene, Funcții de execuție",04/09/2023,18/09/2023,Timiş,Timiş,Permanent
îngrijitor,ingrijitor-357/,"Liceul teoretic ""Ady Endre"" ","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,19/09/2023,Bihor,Bihor,Permanent
SECRETAR ȘEF,secretar-sef-29/,Școala Gimnazială „Geo Bogza”,"Funcție contractuală, Instituții locale, Funcții de conducere",04/09/2023,19/09/2023,Bucureşti,Bucureşti,Permanent
Îngrijitor I (2 posturi),ingrijitor-i-2-posturi-2/,Grădinița cu Program Prelungit Nr. 20 Timișoara,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Timiş,Timiş,Permanent
îngrijitor curățenie,ingrijitor-curatenie-15/,"Școala Gimnazială Tășnad, Tășnad, județul Satu Mare ","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Satu Mare,Satu Mare,Permanent
asistent de cercetare,asistent-de-cercetare/,Universitatea Tehnică din Cluj Napoca,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Cluj,Cluj,Permanent
Îngrijitor I,ingrijitor-i-19/,Grădinița cu Program Prelungit Floare Albastră,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Dolj,Dolj,Permanent
"referent de specialitate, operator 2, bucătar, muncitor necalificat, șofer și îngrijitor",referent-de-specialitate-operator-2-bucatar-muncitor-necalificat-sofer-si-ingrijitor/,Unitatea Militară 02310 Sibiu,"Funcție contractuală, Unități militare, Funcții de execuție",04/09/2023,15/09/2023,Sibiu,Sibiu,Permanent
sef birou gradul II,sef-birou-gradul-ii-4/,unitatea militara 01802 moara vlasiei,"Funcție contractuală, Unități militare, Funcții de conducere",04/09/2023,18/09/2023,Ilfov,Ilfov,Permanent
Magaziner și Muncitor întreținere,magaziner-si-muncitor-intretinere/,"Colegiul Csiky Gergely, Arad","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Arad,Arad,Permanent
"medic specialist, specialitatea microbiologie medicala",medic-specialistspecialitatea-microbiologie-medicala/,Spitalul Universitar de Urgenţă Bucureşti,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Bucureşti,Bucureşti,Permanent
medic specialist specialitatea anestezie si terapie intensiva-Compartimentul Unitate Arsi grav,medic-specialist-specialitatea-anestezie-si-terapie-intensiva-compartimentul-unitate-arsi-grav-2/,spitalul Clinic Judetean de Urgenta pius brinzeu din timisoara,"Alte functii, Instituții județene, Funcții de execuție",04/09/2023,18/09/2023,Timiş,Timiş,Permanent
Consilier IA,consilier-ia-11/,Primăria Orașului Recaș,"Funcție contractuală, Primării, Funcții de execuție",04/09/2023,18/09/2023,Timiş,Timiş,Permanent
terhnician electrician tr. I,terhnician-electrician-tr-i/,Universitatea Națională de Artă Teatrală și Cinematografică I L Caragiale București,"Funcție contractuală, Instituții naționale, Funcții de execuție",04/09/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
Muncitor calificat (bucătar),muncitor-calificat-bucatar-13/,LICEUL TEHNIC BUZAU,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,15/09/2023,Buzău,Buzău,Permanent
Îngrijitor,ingrijitor-350/,"Școala Gimnazială Nicolae Titulescu, București","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Bucureşti,Bucureşti,Permanent
lABORANT,laborant-17/,Universitatea de Medicină și Farmacie ”Iuliu Hațieganu” Cluj Napoca,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Cluj,Cluj,Permanent
"infirmier, infimier debutant , ingrijitor, kinetoterapeut, asistent medical pl,coordonator personal",infirmier-infimier-debutant-ingrijitor-kinetoterapeut-asistent-medical-plcoordonator-personal/,DIRECȚIA DE ASISTENȚĂ SOCIALA BRAȘOV,"Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,15/09/2023,Braşov,Braşov,Permanent
4 posturi medici specialisti specialitatea radiologie-imagistica medicala,4-posturi-medici-specialisti-specialitatea-radiologie-imagistica-medicala/,spitalul Clinic Judetean de Urgenta pius brinzeu din timisoara,"Alte functii, Instituții județene, Funcții de execuție",04/09/2023,18/09/2023,Timiş,Timiş,Permanent
medic specialist specialitatea cardiologie – Sectia clinica chirurgie vasculara,medic-specialist-specialitatea-cardiologie-sectia-clinica-chirurgie-vasculara-2/,spitalul Clinic Judetean de Urgenta pius brinzeu din timisoara,"Alte functii, Instituții județene, Funcții de execuție",04/09/2023,18/09/2023,Timiş,Timiş,Permanent
"îngrijitor, post vacant, pe perioadă nedeterminată",ingrijitor-post-vacant-pe-perioada-nedeterminata-36/,"Școala Gimnazială „Alexandru Piru”,  Mărgineni,  județul Bacău","Funcție contractuală, Instituții locale, Funcții de execuție",04/09/2023,18/09/2023,Bacău,Bacău,Permanent
Șofer,sofer-73/,PRIMARIA ORASULUI BOCSA,"Funcție contractuală, Primării, Funcții de execuție",04/09/2023,15/09/2023,Caraş-Severin,Caraş-Severin,Permanent
medic stomatolog/dentist specialist,medic-stomatolog-dentist-specialist/,uat oraș pucioasa-direcția de asistență socială-compartiment de asistență medicală în unitățíle de învățământ,"Funcție contractuală, Primării, Funcții de execuție",04/09/2023,15/09/2023,Dâmboviţa,Dâmboviţa,Permanent
spălătoreasă,spalatoreasa-12/,"Grădinița nr. 233, București","Funcție contractuală, Instituții județene, Funcții de execuție",01/09/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
ingrijitor,ingrijitor-364/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
bucatar,bucatar-37/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
INGRIJITOR,ingrijitor-363/,grădinița nr. 133,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,18/09/2023,Bucureşti,Bucureşti,Permanent
secretar studii superioare debutant,secretar-studii-superioare-debutant/,UNIVERSITATEA TEHNICĂ ”GHEORGHE ASACHI” DIN IASI,"Funcție contractuală, Instituții naționale, Funcții de execuție",01/09/2023,14/09/2023,Iaşi,Iaşi,Permanent
14 posturi expert nonformal,14-posturi-expert-nonformal/,"liceul Teoretic ,,Serban Vodă”, orașul Slănic","Alte functii, Instituții locale, Funcții de execuție",01/09/2023,12/09/2023,Prahova,Prahova,Temporar
MEDIC SPECIALIST,medic-specialist-23/,Colegiul Naţional Militar “Dimitrie Cantemir”,"Funcție contractuală, Unități militare, Funcții de execuție",01/09/2023,15/09/2023,Prahova,Prahova,Permanent
BIBLIOTECAR i,bibliotecar-i/,SCOALA GIMNAZIALA COMUNA PANATAU,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,21/09/2023,Buzău,Buzău,Permanent
INGRIJITOR,ingrijitor-362/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
BUCATAR,bucatar-36/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
SECRETAR I,secretar-i-5/,SCOALA GIMNAZIALA COMUNA PANATAU,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,21/09/2023,Buzău,Buzău,Permanent
Educator puiericultor,educator-puiericultor/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
infirmier,infirmier-11/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
SOFER AUTOSANITARA II (5 posturi),sofer-autosanitara-ii-5-posturi-2/,Serviciul de Ambulanță Județean Neamț,"Funcție contractuală, Instituții județene, Funcții de execuție",01/09/2023,15/09/2023,Neamţ,Neamţ,Permanent
asistent debudant,asistent-debudant/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
infirmier,infirmier-12/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
