pozitie,url,angajator,detalii,publicat_in,expira_in,judet,url_judet,tip,updates
"coordonator – 1, kinetoterapeut – 4, asistent social – 3, psiholog – 3, terapeut ocupational – 2",https://posturi.gov.ro/anunt/coordonator-1-kinetoterapeut-4-asistent-social-3-psiholog-3-terapeut-ocupational-2/,Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bacău,"Funcție contractuală, Consilii județene, Funcții de conducere,Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bacău,https://posturi.gov.ro/?judet=Bacău,Permanent,
Bibliotecar-arhivist debutant S,https://posturi.gov.ro/anunt/bibliotecar-arhivist-debutant-s/,Universitatea Alexandru Ioan Cuza din Iasi,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Iaşi,https://posturi.gov.ro/?judet=Iaşi,Permanent,
"Economist, gradul IA, S",https://posturi.gov.ro/anunt/economist-gradul-ia-s/,Muzeul Județean de Științele Naturii Prahova,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Prahova,https://posturi.gov.ro/?judet=Prahova,Permanent,
infirmier în cadrul Secției Chirurgie Generală,https://posturi.gov.ro/anunt/infirmier-in-cadrul-sectiei-chirurgie-generala/,"Spitalul Județean de Urgență Zalău, județul Sălaj","Funcție contractuală, Consilii județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  13/09/2024,Sălaj,https://posturi.gov.ro/?judet=Sălaj,Temporar,
Secretar instituție/unitate de învățământ grad I S,https://posturi.gov.ro/anunt/secretar-institutie-unitate-de-invatamant-grad-i-s-2/,Universitatea Alexandru Ioan Cuza din Iasi,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  13/09/2024,Iaşi,https://posturi.gov.ro/?judet=Iaşi,Temporar,
Administrator de patrimoniu,https://posturi.gov.ro/anunt/administrator-de-patrimoniu-168/,"Școala Gimnaziala ,,Dumitru Gavrilescu” Gârliciu","Funcție publică, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  16/09/2024,Constanţa,https://posturi.gov.ro/?judet=Constanţa,Permanent,
ȘOFER AUTOSANITARĂ I,https://posturi.gov.ro/anunt/sofer-autosanitara-i-38/,Serviciul de Ambulanţă Judeţean Sibiu,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Sibiu,https://posturi.gov.ro/?judet=Sibiu,Temporar,
INSTRUCTOR DE EDUCAȚIE EXTRAȘCOLARĂ,https://posturi.gov.ro/anunt/instructor-de-educatie-extrascolara-8/,Liceul Teoretic „Traian Vuia” Reșița ,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Caraş-Severin,https://posturi.gov.ro/?judet=Caraş-Severin,Permanent,
un post sofer trepta profesionala I,https://posturi.gov.ro/anunt/un-post-sofer-trepta-profesionala-i/,Primaria Municipiului Mangalia,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Constanţa,https://posturi.gov.ro/?judet=Constanţa,Permanent,
"Muncitor calificat,treapta I, M/G",https://posturi.gov.ro/anunt/muncitor-calificattreapta-i-m-g/,Muzeul Județean de Științele Naturii Prahova,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Prahova,https://posturi.gov.ro/?judet=Prahova,Permanent,
medic rezident ultimul an pediatrie,https://posturi.gov.ro/anunt/medic-rezident-ultimul-an-pediatrie-4/,SPITALUL JUDETEAN DE URGENTA VALCEA,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Vâlcea,https://posturi.gov.ro/?judet=Vâlcea,Permanent,
medic primar / specialist / rezident  medicina interna,https://posturi.gov.ro/anunt/medic-primar-specialist-rezident-medicina-interna/,Spitalul orasenesc Brezoi,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  24/09/2024,Vâlcea,https://posturi.gov.ro/?judet=Vâlcea,Permanent,
registrator medical în cadrul Serviciului Statistică Medicală,https://posturi.gov.ro/anunt/1-post-registrator-medical-in-cadrul-serviciului-statistica-medicala/,"Spitalul Județean de Urgență Zalău, județul Bihor","Funcție contractuală, Consilii județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  13/09/2024,Sălaj,https://posturi.gov.ro/?judet=Sălaj,Temporar,
inspector debutant implementare proiecte finanțate din fonduri externe nerambursabile,https://posturi.gov.ro/anunt/inspector-debutant-implementare-proiecte-finantate-din-fonduri-externe-nerambursabile/,"Primaria Comunei Gârliciu, judetul Constanța","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  13/09/2024,Constanţa,https://posturi.gov.ro/?judet=Constanţa,Temporar,
Expert gr. I,https://posturi.gov.ro/anunt/expert-gr-i-6/,Unitatea Militară 01835 Bucureşti                     ,"Funcție contractuală, Unități militare, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
