pozitie,url,angajator,detalii,publicat_in,expira_in,judet,url_judet,tip,updates
paznic,https://posturi.gov.ro/anunt/paznic-507/,Universitatea “Dunărea de Jos” din Galaţi,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  11/09/2024,Galaţi,https://posturi.gov.ro/?judet=Galaţi,Temporar,
"infirmiera, ingrijitoare, asistent medical generalist",https://posturi.gov.ro/anunt/infirmiera-ingrijitoare-asistent-medical-generalist/,Spitalul Universitar de Urgență Elias,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
registrator medical,https://posturi.gov.ro/anunt/registrator-medical-57/,"Spitalul Orăşenesc ,,Dr.George Trifon’’ Năsăud","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  12/09/2024,Bistriţa-Năsăud,https://posturi.gov.ro/?judet=Bistriţa-Năsăud,Temporar,
BUCATAR,https://posturi.gov.ro/anunt/bucatar-176/,CREȘA „ Prichindel” ,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  15/10/2024,Galaţi,https://posturi.gov.ro/?judet=Galaţi,Permanent,
îngrijitor,https://posturi.gov.ro/anunt/ingrijitor-1892/,COLEGIUL TEHNIC ”VALERIU D. COTEA” FOCȘANI,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Vrancea,https://posturi.gov.ro/?judet=Vrancea,Permanent,
STATISTICIAN MEDICAL DEBUTANT CU STUDII MEDII,https://posturi.gov.ro/anunt/statistician-medical-debutant-cu-studii-medii/,Spitalul Clinic de Recuperare Medicala Baile Felix,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Bihor,https://posturi.gov.ro/?judet=Bihor,Temporar,
Administrator patrimoniu SI,https://posturi.gov.ro/anunt/administrator-patrimoniu-si/,Universitatea de Medicina si Farmacie Iuliu Hatieganu Cluj Napoca,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Permanent,
administrator financiar III S,https://posturi.gov.ro/anunt/administrator-financiar-iii-s-5/,Universitatea “Dunărea de Jos” din Galaţi,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  11/09/2024,Galaţi,https://posturi.gov.ro/?judet=Galaţi,Temporar,
INGRIJITOR CRESA,https://posturi.gov.ro/anunt/ingrijitor-cresa-7/,PRIMARIA COMUNEI POIANA - JUDETUL DAMBOVITA,"Funcție publică, Primării, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Dâmboviţa,https://posturi.gov.ro/?judet=Dâmboviţa,Permanent,
Inspector de Specialitate grad IA – Salvamar,https://posturi.gov.ro/anunt/inspector-de-specialitate-grad-ia-salvamar/,CLUBUL SPORTIV MUNICIPAL MEDIAȘ,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Sibiu,https://posturi.gov.ro/?judet=Sibiu,Permanent,
Muncitor necalificat,https://posturi.gov.ro/anunt/muncitor-necalificat-222/,Administrația Parcului Memorial „Constantin Stere” Ploieşti,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Prahova,https://posturi.gov.ro/?judet=Prahova,Permanent,
îngrijitor cu norma de 1/8,https://posturi.gov.ro/anunt/ingrijitor-cu-norma-de-1-8/,"   COMUNA STULPICANI , Stulpicani, județul Suceava","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Suceava,https://posturi.gov.ro/?judet=Suceava,Permanent,
"referent, studii superioare, gradul I,",https://posturi.gov.ro/anunt/referent-studii-superioare-gradul-i/,MUZEUL NAȚIONAL AL LITERATURII ROMÂNE IAȘI,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Iaşi,https://posturi.gov.ro/?judet=Iaşi,Permanent,
îngrijitor copii grădiniță,https://posturi.gov.ro/anunt/ingrijitor-copii-gradinita-12/,"Grădinița cu Program Prelungit Nr. 5 Săcele, județul Brașov","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  10/09/2024,Braşov,https://posturi.gov.ro/?judet=Braşov,Temporar,
abalist,https://posturi.gov.ro/anunt/abalist/,Universitatea Babes-Bolyai,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  11/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Temporar,
îngrijitor,https://posturi.gov.ro/anunt/ingrijitor-1884/,"ȘCOALA GIMNAZIALĂ ,,GRIGORE HERINEAN,, GALAȚII BISTRIȚEI, JUDEȚUL BISTRIŢA-NĂSĂUD","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Bistriţa-Năsăud,https://posturi.gov.ro/?judet=Bistriţa-Năsăud,Temporar,
CONSILIER gr. I,https://posturi.gov.ro/anunt/consilier-gr-i-5/,"COMPLEXUL SPORTIV NATIONAL ""SALA POLIVALENTA"" BUCURESTI","Funcție contractuală, Guvern și ministere, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
medic confirmat în specialitatea medicină dentară din cadrul Compartimentul de evaluare şi promovare,https://posturi.gov.ro/anunt/medic-confirmat-in-specialitatea-medicina-dentara-din-cadrul-compartimentul-de-evaluare-si-promovare/,DIRECTIA DE SANATATE PUBLICA VRANCEA,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Vrancea,https://posturi.gov.ro/?judet=Vrancea,Permanent,
îngrijitoare,https://posturi.gov.ro/anunt/ingrijitoare-445/,"GRĂDINIŢA CU PROGRAM PRELUNGIT  “DR. ION RAŢIU”,  TURDA, județul CLUJ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Permanent,
Îngrijitor,https://posturi.gov.ro/anunt/ingrijitor-1876/,"Grădinița cu Program Prelungit „Constantin Brâncuși” Târgu Jiu, județul Gorj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Gorj,https://posturi.gov.ro/?judet=Gorj,Permanent,
BUCATAR,https://posturi.gov.ro/anunt/bucatar-170/,CRESA PIATRA NEAMT,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Permanent,
Îngrijitor,https://posturi.gov.ro/anunt/ingrijitor-1906/,"Colegiul Național ,,Ștefan cel Mare"" Târgu-Neamț","Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Temporar,
Referent,https://posturi.gov.ro/anunt/referent-103/,Primaria comunei Leu ,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Dolj,https://posturi.gov.ro/?judet=Dolj,Permanent,
Asistent medical debutant balneofiziokinetoterapie si recuperare cu studii postliceale,https://posturi.gov.ro/anunt/asistent-medical-debutant-balneofiziokinetoterapie-si-recuperare-cu-studii-postliceale/,Spitalul Clinic de Recuperare Medicala Baile Felix,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Bihor,https://posturi.gov.ro/?judet=Bihor,Permanent,
Logoped și Terapeut ocupațional,https://posturi.gov.ro/anunt/logoped-si-terapeut-ocupational/,Direcția de Asistență Socială Sebeș,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Alba,https://posturi.gov.ro/?judet=Alba,Permanent,
EXPERT FONDURI EUROPENE,https://posturi.gov.ro/anunt/expert-fonduri-europene/,Primaria Horodnic de Sus,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Suceava,https://posturi.gov.ro/?judet=Suceava,Permanent,
administrator financiar,https://posturi.gov.ro/anunt/administrator-financiar-534/,"Şcoala Gimnazială Romuli, județul Bistrița-Năsăud","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Bistriţa-Năsăud,https://posturi.gov.ro/?judet=Bistriţa-Năsăud,Temporar,
Muncitor calificat – mecanic de mașini agricole și utilaje,https://posturi.gov.ro/anunt/muncitor-calificat-mecanic-de-masini-agricole-si-utilaje/,"Institutul de Cercetare-Dezvoltare pentru Montanologie Cristian Sibiu, județul Sibiu","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  19/09/2024,Sibiu,https://posturi.gov.ro/?judet=Sibiu,Permanent,
Îngrijitor,https://posturi.gov.ro/anunt/ingrijitor-1875/,"Liceul Teoretic „Ion Barbu”, Sector 5, București","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
infirmieră debutantă,https://posturi.gov.ro/anunt/infirmiera-debutanta-28/,"Spitalul Municipal Turda, judeţul Cluj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  10/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Temporar,
Muncitor necalificat,https://posturi.gov.ro/anunt/muncitor-necalificat-219/,"Orașul Murgeni, județul Vaslui","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Vaslui,https://posturi.gov.ro/?judet=Vaslui,Permanent,
MUNCITOR  CALIFICAT,https://posturi.gov.ro/anunt/muncitor-calificat-268/,"  ȘCOALA  GIMNAZIALĂ”COLONEL  CONSTANTIN  LANGA” ,  MIROSLAVA, JUD.IAȘI","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Iaşi,https://posturi.gov.ro/?judet=Iaşi,Permanent,
secretar,https://posturi.gov.ro/anunt/secretar-324/,"Şcoala Gimnazială Romuli, județul Bistrița-Năsăud","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Bistriţa-Năsăud,https://posturi.gov.ro/?judet=Bistriţa-Năsăud,Permanent,
Administrator patrimoniu I S,https://posturi.gov.ro/anunt/administrator-patrimoniu-i-s-12/,"Universitatea ""Dunarea de Jos"" din Galati","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  11/09/2024,Galaţi,https://posturi.gov.ro/?judet=Galaţi,Temporar,
Medic studii superioare Serviciul public de asistenta medicala,https://posturi.gov.ro/anunt/medic-studii-superioare-serviciul-public-de-asistenta-medicala-2/,Primaria mun. Alba Iulia,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 4 septembrie,2024",Expiră in  17/09/2024,Alba,https://posturi.gov.ro/?judet=Alba,Permanent,
Asistent sef S,https://posturi.gov.ro/anunt/asistent-sef-s/,"SPITALUL MUNICIPAL CÂMPULUNG, CÂMPULUNG,  județul Argeş","Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 4 septembrie,2024",Expiră in  18/09/2024,Arges,https://posturi.gov.ro/?judet=Arges,Permanent,
POMPIER,https://posturi.gov.ro/anunt/pompier-12/,Clubul Sportiv Teleorman Alexandria,"Alte functii, Instituții județene, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  19/09/2024,Teleorman,https://posturi.gov.ro/?judet=Teleorman,Permanent,
Agent hidrotehnic,https://posturi.gov.ro/anunt/agent-hidrotehnic-35/,Administrația Bazinală de Apă Crișuri,"Funcție contractuală, Guvern și ministere, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  18/09/2024,Bihor,https://posturi.gov.ro/?judet=Bihor,Permanent,
Îngrijitor clădiri,https://posturi.gov.ro/anunt/ingrijitor-cladiri-88/,"Liceul Tehnologic „Virgil Madgearu”, Roșiori de Vede, județul Teleorman","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Teleorman,https://posturi.gov.ro/?judet=Teleorman,Permanent,
administrator patrimoniu CUNBM,https://posturi.gov.ro/anunt/administrator-patrimoniu-cunbm/,"Universitatea Tehnică din Cluj Napoca, județul Cluj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Permanent,
MUNCITOR (ATRIBUŢII FOCHIST),https://posturi.gov.ro/anunt/muncitor-atributii-fochist-3/,"LICEUL DE ARTE,, IONEL PERLEA,,   ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Ialomiţa,https://posturi.gov.ro/?judet=Ialomiţa,Permanent,
INGRIJITOR,https://posturi.gov.ro/anunt/ingrijitor-1886/,"LICEUL DE ARTE,, IONEL PERLEA,,   ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Ialomiţa,https://posturi.gov.ro/?judet=Ialomiţa,Permanent,
ingrijitor curatenie,https://posturi.gov.ro/anunt/ingrijitor-curatenie-129/,Spitalul Municipal Prof Dr. Irinel Popescu Bailesti,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Dolj,https://posturi.gov.ro/?judet=Dolj,Permanent,
ÎNGRIJITOARE (2  POSTURI),https://posturi.gov.ro/anunt/ingrijitoare-2-posturi-21/,"Spitalul  Clinic  de  Recuperare, Cluj-Napoca, județul Cluj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  9/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Temporar,
referent debutant,https://posturi.gov.ro/anunt/referent-debutant-46/,Municipiul Roșiori de Vede,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Teleorman,https://posturi.gov.ro/?judet=Teleorman,Permanent,
Șofer,https://posturi.gov.ro/anunt/sofer-246/,CONSILIUL JUDETEAN HUNEDOARA,"Funcție contractuală, Consilii județene, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Hunedoara,https://posturi.gov.ro/?judet=Hunedoara,Permanent,
consilier,https://posturi.gov.ro/anunt/consilier-55/,Universitatea Babes-Bolyai,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  10/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Temporar,
Educator specializat,https://posturi.gov.ro/anunt/educator-specializat/,Directia de Asistenta Sociala,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Tulcea,https://posturi.gov.ro/?judet=Tulcea,Permanent,
"STATISTICIAN MEDICAL DEBUTANT, INGRIJITOARE CURATENIE, INFIRMIER",https://posturi.gov.ro/anunt/statistician-medical-debutant-ingrijitoare-curatenie-infirmier/,"Spitalul de Recuperare neuromotorie ""dr. corneliu barsan"" dezna","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Arad,https://posturi.gov.ro/?judet=Arad,Permanent,
REGISTRATOR MEDICAL-2 POSTURI,https://posturi.gov.ro/anunt/registrator-medical-2-posturi-6/,Spitalul Clinic de Pneumoftiziologie Iaşi,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Iaşi,https://posturi.gov.ro/?judet=Iaşi,Permanent,
sofer auto,https://posturi.gov.ro/anunt/sofer-auto-2/,Clubul Sportiv Universitar Târgu Mureș,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Mureş,https://posturi.gov.ro/?judet=Mureş,Permanent,
psiholog stagiar,https://posturi.gov.ro/anunt/psiholog-stagiar-11/,"Direcția de Asistență Socială Roman, județul Neamț","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Permanent,
"Asistent medical generalist cu PL debutant,Cabinet Ortopedie si Traumatologie din Ambulator",https://posturi.gov.ro/anunt/asistent-medical-generalist-cu-pl-debutantcabinet-ortopedie-si-traumatologie-din-ambulator/,SPITALUL MUNICIPAL DOROHOI,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  10/09/2024,Botoşani,https://posturi.gov.ro/?judet=Botoşani,Temporar,
medic rezident anul V specialitatea pediatrie,https://posturi.gov.ro/anunt/medic-rezident-anul-v-specialitatea-pediatrie-2/,"Spitalul Orășenesc Corabia, județul Olt","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Olt,https://posturi.gov.ro/?judet=Olt,Permanent,
Șofer – microbuz școlar,https://posturi.gov.ro/anunt/sofer-microbuz-scolar-154/,Comuna Chiheru de Jos,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Mureş,https://posturi.gov.ro/?judet=Mureş,Temporar,
"Consilier juridic, Expert, Referent, Administrator",https://posturi.gov.ro/anunt/consilier-juridic-expert-referent-administrator/,Agenția Română de Asigurare a Calității în Învățământul Preuniversitar (ARACIP),"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
asistent medical principal cu PL,https://posturi.gov.ro/anunt/asistent-medical-principal-cu-pl/,Spitalul Municipal Prof Dr. Irinel Popescu Bailesti,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Dolj,https://posturi.gov.ro/?judet=Dolj,Permanent,
ASISTENT MEDICAL GENERALIST  (PL) – Cardiologie,https://posturi.gov.ro/anunt/asistent-medical-generalist-pl-1-post-tempora-vacant/,"Spitalul  Clinic  de  Recuperare, Cluj-Napoca, județul Cluj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  9/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Temporar,
Masimist la masini pentru terasamente,https://posturi.gov.ro/anunt/masimist-la-masini-pentru-terasamente/,ADMINISTRATIA BAZINALA DE APA OLT- SISTEMUL DE GOSPODARIRE A APELOR SIBIU,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Sibiu,https://posturi.gov.ro/?judet=Sibiu,Permanent,
Anunț concurs ocupare post statistician medical,https://posturi.gov.ro/anunt/anunt-concurs-ocupare-post-statistician-medical-2/,CMDTA „DR. N. KRETZULESCU” BUCURESTI,"Funcție contractuală, Guvern și ministere, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
muncitor III M (bucătar),https://posturi.gov.ro/anunt/muncitor-iii-m-bucatar-2/,Grădinița cu Program Prelungit Nr. 11 Satu-Mare,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  9/09/2024,Satu Mare,https://posturi.gov.ro/?judet=Satu Mare,Temporar,
Șofer I,https://posturi.gov.ro/anunt/sofer-i-59/,"Primăria comunei Ivești, județul Galați","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Galaţi,https://posturi.gov.ro/?judet=Galaţi,Permanent,
BUCĂTAR,https://posturi.gov.ro/anunt/bucatar-173/,"Colegiul Național „Mircea cel Bătrân”, Râmnicu Vâlcea, județul Vâlcea","Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  23/09/2024,Vâlcea,https://posturi.gov.ro/?judet=Vâlcea,Permanent,
Infirmieri,https://posturi.gov.ro/anunt/infirmieri-7/,Spitalul Municipal ”Dr Eugen Nicoară” Reghin,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Mureş,https://posturi.gov.ro/?judet=Mureş,Permanent,
îngrijitor,https://posturi.gov.ro/anunt/ingrijitor-1869/,"Școala Gimnaziala „Mikes Armin”, Comuna Bixad, județul Covasna","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Covasna,https://posturi.gov.ro/?judet=Covasna,Permanent,
Sofer,https://posturi.gov.ro/anunt/sofer-243/,Primăria Comunei Lunca,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Teleorman,https://posturi.gov.ro/?judet=Teleorman,Permanent,
"asistent social, logoped si kinetoterapeut",https://posturi.gov.ro/anunt/asistent-social-logoped-si-kinetoterapeut/,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI NEAMT,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Permanent,
Consilier gr.I,https://posturi.gov.ro/anunt/consilier-gr-i-4/,AGENTIA NATIONALA PENTRU LOCUINTE,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
"asis med PL Comp Primiri Urgente si Sala Nasteri, asis med PL PR Bloc operator, ingrijitoare Bloc Op",https://posturi.gov.ro/anunt/asis-med-pl-comp-primiri-urgente-si-sala-nasteri-asis-med-pl-pr-bloc-operator-ingrijitoare-bloc-op/,SPITALUL MUNICIPAL DR AUREL TULBURE FAGARAS,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  10/09/2024,Braşov,https://posturi.gov.ro/?judet=Braşov,Temporar,
ASISTENT MEDICAL TEMPORAR,https://posturi.gov.ro/anunt/asistent-medical-temporar-2/,Spitalul Clinic de Pneumoftiziologie Iaşi,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  9/09/2024,Iaşi,https://posturi.gov.ro/?judet=Iaşi,Temporar,
1 post  Subinvestigator  asistent medical de laborator,https://posturi.gov.ro/anunt/1-post-subinvestigator-asistent-medical-de-laborator/,institutul marius nasta,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  10/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Temporar,
MUNCITOR CALIFICAT I,https://posturi.gov.ro/anunt/muncitor-calificat-i-103/,"ANRSPS - UNITATEA TERITORIALĂ 360, CURTEA DE ARGEȘ","Funcție contractuală, Instituții regionale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Arges,https://posturi.gov.ro/?judet=Arges,Permanent,
CONSERVATOR – GRAD II,https://posturi.gov.ro/anunt/conservator-grad-ii/,"Muzeul Municipal Curtea de Argeş, județul Argeș","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  24/09/2024,Arges,https://posturi.gov.ro/?judet=Arges,Temporar,
Bibliotecar (S),https://posturi.gov.ro/anunt/bibliotecar-s-6/,"LICEUL DE ARTE,, IONEL PERLEA,,   ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Ialomiţa,https://posturi.gov.ro/?judet=Ialomiţa,Permanent,
bibliograf IA secția producție,https://posturi.gov.ro/anunt/bibliograf-ia-sectia-productie/,Institutul Național al Patrimoniului,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
Farmacist,https://posturi.gov.ro/anunt/farmacist-29/,DIRECȚIA DE SĂNĂTATE PUBLICĂ A JUDEȚULUI NEAMȚ,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Permanent,
ASISTENT SOCIAL PRACTICANT,https://posturi.gov.ro/anunt/asistent-social-practicant-8/,DIRECTIA ASISTENTA SOCIALA OLTENITA,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Călăraşi,https://posturi.gov.ro/?judet=Călăraşi,Permanent,
medic,https://posturi.gov.ro/anunt/medic-44/,"spitalul municipal de urgenta ""elena beldiman"" barlad","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Vaslui,https://posturi.gov.ro/?judet=Vaslui,Permanent,
inginer debutant (constructor),https://posturi.gov.ro/anunt/inginer-debutant-constructor-9/,Universitatea Națională de Arte din Bucureşti ,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
"Șef centru, gradul I",https://posturi.gov.ro/anunt/sef-centru-gradul-i-2/,Primaria Comunei Balesti,"Funcție contractuală, Primării, Funcții de conducere","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Gorj,https://posturi.gov.ro/?judet=Gorj,Permanent,
"Laborant, Muncitor, Ingrijitor",https://posturi.gov.ro/anunt/laborant-muncitor-ingrijitor/,Liceul Tehnologic „Vasile Sav” Roman,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  10/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Temporar,
SECRETAR,https://posturi.gov.ro/anunt/secretar-322/,COLEGIUL NAȚIONAL OCTAV ONICESCU,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  17/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
"asistent medical, grad profesional principal",https://posturi.gov.ro/anunt/asistent-medical-grad-profesional-principal-3/,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI NEAMT,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Permanent,
sofer,https://posturi.gov.ro/anunt/sofer-242/,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI NEAMT,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 3 septembrie,2024",Expiră in  16/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Permanent,
