id,name,citycode,city,type,status,main,lat,long,cluster_ica_data,highest,highest_ica,ica,max_value,lastReadingTime,eui,date,now,pm1,pm25,pm10,no2,so2,co,ica_pm1,ica_pm25,ica_pm10,ica_no2,ica_so2,ica_co,highest_eui,highest_date,highest_now,highest_pm1,highest_pm25,highest_pm10,highest_no2,highest_so2,highest_co,highest_ica_pm1,highest_ica_pm25,highest_ica_pm10,highest_ica_no2,highest_ica_so2,highest_ica_co,highest_max_value
249,Spitalul - Dr. Ion Cantacuzino,BUC,București,2,true,False,44.432689,26.081626,[],"{'eui': '03000043', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 15.3725, 'pm25': 4.6475, 'pm10': 39.84, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 11.61875, 'ica_pm10': 62.3, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 62.3, 'max_value': 39.84}",62.3,62.3,39.84,2024-08-28 18:00,03000043,2024-08-28 18:00,2024-08-28 18:00,15.3725,4.6475,39.84,0,0,0,0,11.61875,62.3,0,0,0,03000043,2024-08-28 18:00,2024-08-28 18:00,15.3725,4.6475,39.84,0,0,0,0,11.61875,62.3,0,0,0,39.84
238,Spitalul Clinic de copii - Dr. Victor Gomoiu,BUC,București,2,true,False,44.432979,26.142222,[],"{'eui': '03000032', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 12.7025, 'pm25': 3.535, 'pm10': 36.705, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 8.8375, 'ica_pm10': 58.38125, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 58.38125, 'max_value': 36.705}",58.38125,58.38125,36.705,2024-08-28 18:00,03000032,2024-08-28 18:00,2024-08-28 18:00,12.7025,3.535,36.705,0,0,0,0,8.8375,58.38125,0,0,0,03000032,2024-08-28 18:00,2024-08-28 18:00,12.7025,3.535,36.705,0,0,0,0,8.8375,58.38125,0,0,0,36.705
248,Gradinita 271,BUC,București,2,true,False,44.434005,26.069253,[],"{'eui': '03000042', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 15.19, 'pm25': 4.23, 'pm10': 38.37, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 10.575, 'ica_pm10': 60.4625, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 60.4625, 'max_value': 38.37}",60.4625,60.4625,38.37,2024-08-28 18:00,03000042,2024-08-28 18:00,2024-08-28 18:00,15.19,4.23,38.37,0,0,0,0,10.575,60.4625,0,0,0,03000042,2024-08-28 18:00,2024-08-28 18:00,15.19,4.23,38.37,0,0,0,0,10.575,60.4625,0,0,0,38.37
209,Gradinita 147,BUC,București,2,true,False,44.434291,26.159264,[],"{'eui': '03000003', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 16.19, 'pm25': 4.7, 'pm10': 39.99, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 11.75, 'ica_pm10': 62.4875, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 62.4875, 'max_value': 39.99}",62.4875,62.4875,39.99,2024-08-28 18:00,03000003,2024-08-28 18:00,2024-08-28 18:00,16.19,4.7,39.99,0,0,0,0,11.75,62.4875,0,0,0,03000003,2024-08-28 18:00,2024-08-28 18:00,16.19,4.7,39.99,0,0,0,0,11.75,62.4875,0,0,0,39.99
250,Spitalul Coltea,BUC,București,2,true,False,44.434577,26.103916,[],"{'eui': '03000044', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 14.84, 'pm25': 3.8533333333333, 'pm10': 38.94, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 9.6333333333333, 'ica_pm10': 61.175, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 61.175, 'max_value': 38.94}",61.175,61.175,38.94,2024-08-28 18:00,03000044,2024-08-28 18:00,2024-08-28 18:00,14.84,3.8533333333333,38.94,0,0,0,0,9.6333333333333,61.175,0,0,0,03000044,2024-08-28 18:00,2024-08-28 18:00,14.84,3.8533333333333,38.94,0,0,0,0,9.6333333333333,61.175,0,0,0,38.94
229,Colegiul Tehnic - Iuliu Maniu,BUC,București,2,true,False,44.434775,25.975181,[],"{'eui': '03000023', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 16.725, 'pm25': 4.2575, 'pm10': 41.965, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 10.64375, 'ica_pm10': 64.95625, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 64.95625, 'max_value': 41.965}",64.95625,64.95625,41.965,2024-08-28 18:00,03000023,2024-08-28 18:00,2024-08-28 18:00,16.725,4.2575,41.965,0,0,0,0,10.64375,64.95625,0,0,0,03000023,2024-08-28 18:00,2024-08-28 18:00,16.725,4.2575,41.965,0,0,0,0,10.64375,64.95625,0,0,0,41.965
215,Liceul Cervantes,BUC,București,2,true,False,44.436715,26.084079,[],"{'eui': '03000009', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 15, 'pm25': 4.32, 'pm10': 38.876666666667, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 10.8, 'ica_pm10': 61.095833333333, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 61.095833333333, 'max_value': 38.876666666667}",61.095833333333,61.095833333333,38.876666666667,2024-08-28 18:00,03000009,2024-08-28 18:00,2024-08-28 18:00,15.0,4.32,38.876666666667,0,0,0,0,10.8,61.095833333333,0,0,0,03000009,2024-08-28 18:00,2024-08-28 18:00,15.0,4.32,38.876666666667,0,0,0,0,10.8,61.095833333333,0,0,0,38.876666666667
217,Spitalul Clinic Malaxa,BUC,București,2,true,False,44.438366,26.178732,[],"{'eui': '03000011', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 16.45, 'pm25': 3.92, 'pm10': 42.15, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 9.8, 'ica_pm10': 65.1875, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 65.1875, 'max_value': 42.15}",65.1875,65.1875,42.15,2024-08-28 18:00,03000011,2024-08-28 18:00,2024-08-28 18:00,16.45,3.92,42.15,0,0,0,0,9.8,65.1875,0,0,0,03000011,2024-08-28 18:00,2024-08-28 18:00,16.45,3.92,42.15,0,0,0,0,9.8,65.1875,0,0,0,42.15
210,Colegiul National Mihai Viteazu,BUC,București,2,true,False,44.439619,26.125075,[],"{'eui': '03000004', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 13.6925, 'pm25': 4.3, 'pm10': 36.37, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 10.75, 'ica_pm10': 57.9625, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 57.9625, 'max_value': 36.37}",57.9625,57.9625,36.37,2024-08-28 18:00,03000004,2024-08-28 18:00,2024-08-28 18:00,13.6925,4.3,36.37,0,0,0,0,10.75,57.9625,0,0,0,03000004,2024-08-28 18:00,2024-08-28 18:00,13.6925,4.3,36.37,0,0,0,0,10.75,57.9625,0,0,0,36.37
227,Scoala 160,BUC,București,2,true,False,44.439934,26.013037,[],"{'eui': '03000021', 'date': '2024-08-28 18:00', 'now': '2024-08-28 18:00', 'pm1': 16.236666666667, 'pm25': 4.78, 'pm10': 39.806666666667, 'no2': 0, 'so2': 0, 'co': 0, 'ica_pm1': 0, 'ica_pm25': 11.95, 'ica_pm10': 62.258333333333, 'ica_no2': 0, 'ica_so2': 0, 'ica_co': 0, 'ica': 62.258333333333, 'max_value': 39.806666666667}",62.258333333333,62.258333333333,39.806666666667,2024-08-28 18:00,03000021,2024-08-28 18:00,2024-08-28 18:00,16.236666666667,4.78,39.806666666667,0,0,0,0,11.95,62.258333333333,0,0,0,03000021,2024-08-28 18:00,2024-08-28 18:00,16.236666666667,4.78,39.806666666667,0,0,0,0,11.95,62.258333333333,0,0,0,39.806666666667
