"localitate","judet","cod_judet","siruta","tip_localitate","lat","long","populatie","namecheck"
"Medgidia","Constanta","CT",60847,,"44.2478715145","28.2725807029",46407,"MEDGIDIA"
"Tecuci","Galati","GL",75203,,"45.8515456609","27.4282558976",46028,"TECUCI"
"Sighetu Marmației","Maramures","MM",106559,,"47.9288904656","23.8953851997",44240,"SIGHETU MARMATIEI"
"Pașcani","Iasi","IS",95391,,"47.2534006972","26.7235945054",43730,"PASCANI"
"Petroșani","Hunedoara","HD",86990,,"45.4192510504","23.3684728915",43674,"PETROSANI"
"Mangalia","Constanta","CT",60482,,"43.8176623877","28.5801286964",42525,"MANGALIA"
"Miercurea Ciuc","Harghita","HR",83320,,"46.3633087565","25.8072985229",42348,"MIERCUREA CIUC"
"Năvodari","Constanta","CT",60507,,"44.3206799136","28.6114876157",41353,"NAVODARI"
"Râmnicu Sărat","Buau","BZ",44845,,"45.3832429948","27.0516238553",41206,"RAMNICU SARAT"
"Făgăraș","Brasov","BV",40278,,"45.8409762994","24.9734764872",40368,"FAGARAS"
"Voluntari","Ilfov","IF",179551,,"44.4902279061","26.184385574",39717,"VOLUNTARI"
"Dej","Cluj","CJ",55008,,"47.1420139438","23.8769377979",39300,"DEJ"
"Odorheiu Secuiesc","Harghita","HR",83133,,"46.3064615598","25.2955061814",38778,"ODORHEIU SECUIESC"
"Reghin","Mures","MS",114809,,"46.7799642321","24.7019381549",38403,"REGHIN"
"Câmpina","Prahova","PH",131256,,"45.1261916069","25.7349553256",37896,"CAMPINA"
"Câmpulung","Arges","AG",13490,,"45.2775882712","25.0511791039",37334,"CAMPULUNG"
"Săcele","Brasov","BV",40438,,"45.6177238841","25.6988969146",35799,"SACELE"
"Fetești","Ialomita","IL",92701,,"44.3707713237","27.8330532832",35695,"FETESTI"
"Caracal","Olt","OT",125472,,"44.1127338687","24.3508850979",35638,"CARACAL"
"Mioveni","Arges","AG",13301,,"44.9590496346","24.9419832831",34678,"MIOVENI"
"Sighișoara","Mures","MS",114514,,"46.2214134172","24.7927944807",34454,"SIGHISOARA"
"Curtea de Argeș","Arges","AG",13622,,"45.1423279046","24.6781171956",33660,"CURTEA DE ARGES"
"Roșiori de Vede","Teleorman","TR",151870,,"44.1136815358","24.9872214184",32958,"ROSIORI DE VEDE"
"Rădăuți","Suceava","SV",146628,,"47.850896233","25.9156991399",32920,"RADAUTI"
"Sebeș","Alba","AB",1874,,"45.957934189","23.5671278874",32526,"SEBES"
"Fălticeni","Suceava","SV",146539,,"47.4609225755","26.2984238591",31721,"FALTICENI"
"Dorohoi","Botosani","BT",36006,,"47.9529134284","26.4009603849",31549,"DOROHOI"
"Caransebeș","Caras-Severin","CS",51010,,"45.4119682355","22.2185151504",30725,"CARANSEBES"
"Huși","Vaslui","VS",161829,,"46.6731972452","28.0595243248",30612,"HUSI"
"Turnu Magurele","Teleorman","TR",151683,,"43.7464570329","24.8689286861",30393,"TURNU MAGURELE"
"Borșa","Maramures","MM",106746,,"47.6551406045","24.6630160229",29807,"BORSA"
"Vulcan","Hunedoara","HD",87175,,"45.3764589751","23.2934946844",29264,"VULCAN"
"Oltenița","Calarasi","CL",100610,,"44.0920350114","26.6418256736",28542,"OLTENITA"
"Câmpia Turzii","Cluj","CJ",55357,,"46.5441700674","23.8847182951",28498,"CAMPIA TURII"
"Lupeni","Hunedoara","HD",87059,,"45.3565359395","23.2216223283",27501,"LUPENI"
"Cugir","Alba","AB",1696,,"45.8362887476","23.3740956281",27032,"CUGIR"
"Zărnești","Brasov","BV",40492,,"45.5609288621","25.3178721505",26710,"ARNESTI"
"Târnăveni","Mures","MS",114925,,"46.3319138164","24.2966181719",26663,"TARNAVENI"
"Aiud","Alba","AB",1213,,"46.3103035361","23.7182172002",26490,"AIUD"
"Codlea","Brasov","BV",40241,,"45.6994426792","25.4477819221",26163,"CODLEA"
"Pantelimon","Ilfov","IF",179515,,"44.4523509404","26.2068421156",26015,"PANTELIMON"
"Petrila","Hunedoara","HD",87077,,"45.4496930181","23.3900966431",25349,"PETRILA"
"Florești","Cluj","CJ",57706,,"46.7462549406","23.4927133257",24941,"FLORESTI"
"Moinești","Bacau","BC",20876,,"46.4750047151","26.4927835757",24806,"MOINESTI"
"Carei","Satu Mare","SM",136526,,"47.6857601902","22.4674167887",24722,"CAREI"
"Popești Leordeni","Ilfov","IF",179533,,"44.3800497749","26.1713386598",24427,"POPESTI LEORDENI"
"Comănești","Bacau","BC",20821,,"46.4215649619","26.4431962238",24177,"COMANESTI"
"Motru","Gorj","GJ",78141,,"44.8031115265","22.9741413466",23274,"MOTRU"
"Gherla","Cluj","CJ",55384,,"47.0306677048","23.9115328851",23258,"GHERLA"
"Orăștie","Hunedoara","HD",87638,,"45.8384087527","23.1988493595",22740,"ORASTIE"
"Târgu Neamț","Neamt","NT",121055,,"47.2068682254","26.3619700572",22118,"TIRGU NEAMT"
"Buftea","Ilfov","IF",100576,,"44.5597542344","25.9483602488",21930,"BUFTEA"
"Balș","Olt","OT",125418,,"44.3544210306","24.0977514093",21368,"BALS"
"Drăgășani","Valcea","VL",167981,,"44.6605386782","24.260101252",21159,"DRAGASANI"
"Blaj","Alba","AB",1348,,"46.1770815648","23.9244750325",21022,"BLAJ"
"Buhuși","Bacau","BC",20778,,"46.7203049854","26.6997025637",20984,"BUHUSI"
"Moreni","Dambovita","DB",65841,,"44.9832314043","25.6426808293",20742,"MORENI"
"Adjud","Vrancea","VN",174860,,"46.1008360416","27.181959969",20520,"ADJUD"
"Târgu Secuiesc","Covasna","CV",63740,,"45.99969428","26.1347129237",20432,"TARGU SECUIESC"
"Câmpulung Moldovenesc","Suceava","SV",146502,,"47.5298125614","25.5597481954",20281,"CAMPULUNG MOLDOVENESC"
"Gheorgheni","Harghita","HR",83561,,"46.7216784193","25.6055747759",20168,"GHEORGHENI"
"Băilești","Dolj","DJ",70316,,"44.02091536","23.3459415876",20104,"BAILESTI"
"Salonta","Bihor","BH",26975,,"46.8028328313","21.6641514779",19535,"SALONTA"
"Cernavodă","Constanta","CT",60776,,"44.3433062872","28.0369446621",19526,"CERNAVODA"
"Băicoi","Prahova","PH",130981,,"45.0354886853","25.8509027217",19236,"BAICOI"
"Bocșa","Caras-Severin","CS",50969,,"45.3757008745","21.7148269701",19162,"BOCSA"
"Cisnădie","Sibiu","SB",143735,,"45.7140022169","24.1527944909",18920,"CISNADIE"
"Calafat","Dolj","DJ",70352,,"43.9904102074","22.9351576967",18698,"CALAFAT"
"Corabia","Olt","OT",125542,,"43.7766174532","24.5040840936",18536,"CORABIA"
"Filiași","Dolj","DJ",70414,,"44.5532827462","23.5234412807",18530,"FILIASI"
"Marghita","Bihor","BH",26877,,"47.3476875946","22.3436071636",18361,"MARGHITA"
"Vișeu de Sus","Maramures","MM",106979,,"47.7142390834","24.4275367906",18267,"VISEU DE SUS"
"Urziceni","Ialomita","IL",100683,,"44.7184182562","26.6418698081",17710,"URICENI"
"Luduș","Mures","MS",114710,,"46.481860856","24.0971680921",17649,"LUDUS"
"Râșnov","Brasov","BV",40367,,"45.5910793874","25.463926548",17509,"RASNOV"
"Șimleu Silvaniei","Salaj","SJ",139884,,"47.2312466391","22.8058684678",17430,"SIMLEU SILVANIEI"
"Vatra Dornei","Suceava","SV",146744,,"47.3476329673","25.3539458592",17292,"VATRA DORNEI"
"Gura Humorului","Suceava","SV",146584,,"47.5560035723","25.8900888056",17119,"GURA HUMORULUI"
"Baia Sprie","Maramures","MM",106684,,"47.6631868989","23.7050725396",17063,"BAIA SPRIE"
"Negrești-Oaș","Satu Mare","SM",136599,,"47.8724787124","23.4263730012",16906,"NEGRESTI-OAS"
"Breaza","Prahova","PH",131103,,"45.2106372043","25.6494585605",16845,"BREAA"
"Țăndărei","Ialomita","IL",92765,,"44.6449068446","27.6519598106",16843,"TANDAREI"
"Mizil","Prahova","PH",131407,,"45.0037927966","26.4467255074",16627,"MIIL"
"Toplița","Harghita","HR",83632,,"46.9243357588","25.350622234",16129,"TOPLITA"
"Brad","Hunedoara","HD",87291,,"46.1294612187","22.7891691976",16100,"BRAD"
"Vicovu de Sus","Suceava","SV",151095,,"47.9267864647","25.6615864152",15998,"VICOVU DE SUS"
"Avrig","Sibiu","SB",144054,,"45.7255719454","24.3801784042",15729,"AVRIG"
"Bragadiru","Ilfov","IF",179221,,"44.3699820531","25.9787134816",15671,"BRAGADIRU"
"Zimnicea","Teleorman","TR",151978,,"43.6566034111","25.3660295368",15616,"IMNICEA"
"Sântana","Arad","AR",12091,,"46.3446603109","21.5118672077",15589,"SANTANA"
"Ovidiu","Constanta","CT",60687,,"44.2541725158","28.5644918721",15538,"OVIDIU"
"Pucioasa","Dambovita","DB",65921,,"45.0794376133","25.4327126154",15535,"PUCIOASA"
"Găești","Dambovita","DB",65681,,"44.7183320056","25.3181380336",15439,"GAESTI"
"Ștefănești","Arges","AG",13392,,"44.8752878164","24.9602059772",15017,"STEFANESTI"
"Chiajna","Ilfov","IF",179249,,"44.4585168616","25.9784655277",14949,"CHIAJNA"
"Dărmănești","Bacau","BC",22166,,"46.3691341614","26.4703673039",14797,"DARMANESTI"
"Ocna Mureș","Alba","AB",1794,,"46.3774927867","23.8130713005",14745,"OCNA MURES"
"Chitila","Ilfov","IF",179285,,"44.5086463905","25.9836919811",14706,"CHITILA"
"Sânnicolau Mare","Timis","TM",155528,,"46.0729245814","20.6228086375",14662,"SANNICOLAU MARE"
"Miroslava","Iasi","IS",97919,,"47.1511027463","27.5259777896",14594,"MIROSLAVA"
"Holboca","Iasi","IS",95159,,"47.1547585723","27.6882533223",14587,"HOLBOCA"
"Târgu Frumos","Iasi","IS",95471,,"47.2078802982","27.0119561714",14574,"TARGU FRUMOS"
"Otopeni","Ilfov","IF",179481,,"44.5509355002","26.0736883761",14469,"OTOPENI"
"Valu lui Traian","Constanta","CT",63125,,"44.1638631281","28.4652605704",14260,"VALU LUI TRAIAN"
"Pecica","Arad","AR",11584,,"46.1663256742","21.0669159419",14080,"PECICA"
"Simeria","Hunedoara","HD",87665,,"45.8482849261","23.0166772105",14062,"SIMERIA"
"Tomești","Iasi","IS",95293,,"47.1250442206","27.6975017339",13917,"TOMESTI"
"Ciurea","Iasi","IS",96254,,"47.0654209907","27.5730486064",13907,"CIUREA"
"Cumpăna","Constanta","CT",61620,,"44.1131217979","28.5572823486",13867,"CUMPANA"
"Rovinari","Gorj","GJ",82895,,"44.9455885088","23.131904079",13756,"ROVINARI"
"Moldova Nouă","Caras-Severin","CS",51056,,"44.7387433599","21.6740075502",13738,"MOLDOVA NOUA"
"Jimbolia","Timis","TM",155494,,"45.7922556491","20.7199679905",13663,"JIMBOLIA"
"Bolintin-Vale","Giurgiu","GR",101190,,"44.4476352188","25.7578134449",13643,"BOLINTIN-VALE"
"Vălenii de Munte","Prahova","PH",131817,,"45.1877141863","26.0388500864",13628,"VALENII DE MUNTE"
"Oravița","Caras-Severin","CS",51118,,"45.0315347046","21.6979789823",13528,"ORAVITA"
"Mărășești","Vrancea","VN",174922,,"45.9192340052","27.2098552302",13444,"MARASESTI"
"Călan","Hunedoara","HD",87424,,"45.7340216534","22.9909537286",13401,"CALAN"
"Târgu Lăpuș","Maramures","MM",106817,,"47.4537535149","23.8645507363",13261,"TIRGU LAPUS"
"Târgu Ocna","Bacau","BC",20965,,"46.2802093986","26.6112708543",13244,"TIRGU OCNA"
"Orșova","Mehedinti","MH",110063,,"44.7252012709","22.3977063313",13067,"ORSOVA"
"Oțelu Roșu","Caras-Severin","CS",51207,,"45.5183760586","22.3581947109",12807,"OTELU ROSU"
"Vladimirescu","Arad","AR",9397,,"46.1638274528","21.4063699981",12772,"VLADIMIRESCU"
"Darabani","Botosani","BT",35946,,"48.1866339549","26.596826256",12721,"DARABANI"
"Săcueni","Bihor","BH",30915,,"47.3508321022","22.0981365374",12676,"SACUENI"
"Comarnic","Prahova","PH",131336,,"45.2383350316","25.6373944624",12560,"COMARNIC"
"Matca","Galati","GL",76692,,"45.8568573296","27.5365971489",12545,"MATCA"
"Hârlău","Iasi","IS",95355,,"47.4271986743","26.9047257602",12485,"HIRLAU"
"Dăbuleni","Dolj","DJ",72007,,"43.8019252974","24.091056471",12317,"DABULENI"
"Beclean","Bistrita-Nasaud","BN",32483,,"47.1791205431","24.1769075258",12239,"BECLEAN"
"Scornicești","Olt","OT",128711,,"44.6004405495","24.5443779125",12192,"SCORNICESTI"
"Agnita","Sibiu","SB",143682,,"45.9762702743","24.6206673593",12146,"AGNITA"
"Drăgănești-Olt","Olt","OT",125622,,"44.1695014163","24.5251250459",12144,"DRAGANESTI-OLT"
"Flămânzi","Botosani","BT",37280,,"47.5537159661","26.8770795823",11999,"FLAMANI"
"Jibou","Salaj","SJ",139811,,"47.2628282046","23.2582868813",11956,"JIBOU"
"Videle","Teleorman","TR",151905,,"44.2748512745","25.5310385886",11865,"VIDELE"
"Năsăud","Bistrita-Nasaud","BN",32544,,"47.2854119734","24.4049825184",11860,"NASAUD"
"Săbăoani","Neamt","NT",124206,,"47.0123410833","26.8661249818",11847,"SABAOANI"
"Sinaia","Prahova","PH",131540,,"45.3484210301","25.5493709847",11749,"SINAIA"
"Murfatlar","Constanta","CT",62360,,"44.1731432215","28.4109331949",11671,"MURFATLAR"
"Urlați","Prahova","PH",131620,,"44.9918117094","26.2331922756",11654,"URLATI"
"Sângeorz-Băi","Bistrita-Nasaud","BN",32599,,"47.3684982028","24.6721196141",11620,"SINGEOR-BAI"
"Boldești-Scăeni","Prahova","PH",131069,,"45.0164088966","26.0267271612",11610,"BOLDESTI-SCAENI"
"Beiuș","Bihor","BH",26804,,"46.6679939226","22.3509345278",11579,"BEIUS"
"Belcești","Iasi","IS",95872,,"47.3114916096","27.1047327001",11572,"BELCESTI"
"Apahida","Cluj","CJ",55687,,"46.8062558414","23.7533205352",11541,"APAHIDA"
"Strehaia","Mehedinti","MH",110116,,"44.6221106119","23.192101692",11500,"STREHAIA"
"Lipova","Arad","AR",9574,,"46.0903167924","21.6968456945",11474,"LIPOVA"
"Pechea","Galati","GL",76969,,"45.6248603629","27.798508839",11435,"PECHEA"
"Dolhasca","Suceava","SV",148006,,"47.4261386424","26.6115128742",11432,"DOLHASCA"
"Covasna","Covasna","CV",63526,,"45.8474561039","26.1759620328",11361,"COVASNA"
"Nehoiu","Buau","BZ",47916,,"45.4194011019","26.3026981761",11345,"NEHOIU"
"Hârșova","Constanta","CT",60801,,"44.6870048396","27.9496041177",11336,"HARSOVA"
"Aleșd","Bihor","BH",26699,,"47.0599630781","22.3962388576",11327,"ALESD"
"Dofteana","Bacau","BC",22380,,"46.3217416464","26.5277589005",11311,"DOFTEANA"
"Măcin","Tulcea","TL",159730,,"45.2473645881","28.138295263",11239,"MACIN"
"Călinești","Arges","AG",15108,,"44.8459463882","25.0071602626",11175,"CALINESTI"
"Bucov","Prahova","PH",130785,,"44.9753036544","26.0819812897",11174,"BUCOV"
"Ianca","Braila","BR",43331,,"45.1353116996","27.4823932667",11152,"IANCA"
"Valea lui Mihai","Bihor","BH",32027,,"47.5209900591","22.1319612556",11083,"VALEA LUI MIHAI"
"Liești","Galati","GL",76674,,"45.6201808297","27.5413200164",11027,"LIESTI"
"Eforie","Constanta","CT",60455,,"44.0280523824","28.6501216501",11009,"EFORIE"
"Hațeg","Hunedoara","HD",87576,,"45.6097653134","22.9485344704",10993,"HATEG"
"Marginea","Suceava","SV",149290,,"47.8092717037","25.8229599661",10984,"MARGINEA"
"Podu Iloaiei","Iasi","IS",98373,,"47.2122923363","27.2763380999",10939,"PODU ILOAIEI"
"Valea Călugărească","Prahova","PH",135949,,"44.9627958317","26.1404012689",10910,"VALEA CALUGAREASCA"
"Cristuru Secuiesc","Harghita","HR",83525,,"46.2902739097","25.0824250012",10808,"CRISTURU SECUIESC"
"Poiana Mare","Dolj","DJ",73736,,"43.9211923062","23.0662531786",10785,"POIANA MARE"
"Măneciu","Prahova","PH",134096,,"45.3140383341","25.9926095874",10761,"MANECIU"
"Babadag","Tulcea","TL",159650,,"44.8909162934","28.7185786407",10713,"BABADAG"
"Costești","Arges","AG",13668,,"44.6621322125","24.8774417974",10666,"COSTESTI"
"Șcheia","Suceava","SV",146432,,"47.6578584565","26.2280954093",10617,"SCHEIA"
"Sânmartin","Bihor","BH",26582,,"47.0072559085","21.974176764",10606,"SINMARTIN"
"Modelu","Calarasi","CL",92587,,"44.1992578027","27.3878531629",10600,"MODELU"
"Sovata","Mures","MS",114854,,"46.5974735379","25.070578717",10593,"SOVATA"
"Filipeștii de Pădure","Prahova","PH",133161,,"44.9978260181","25.7431930602",10528,"FILIPESTII DE PADURE"
"Deleni","Iasi","IS",96815,,"47.4602365804","26.8808729667",10520,"DELENI"
"Baciu","Cluj","CJ",55838,,"46.7965360409","23.5211524616",10489,"BACIU"
"Negrești","Vaslui","VS",161856,,"46.8339229327","27.4597073646",10482,"NEGRESTI"
"Titu","Dambovita","DB",66081,,"44.6612276136","25.5717634829",10398,"TITU"
"Salcea","Suceava","SV",146370,,"47.6521179606","26.3737333375",10397,"SALCEA"
"Bascov","Arges","AG",13187,,"44.9011821499","24.8164263338",10388,"BASCOV"
"Jilava","Ilfov","IF",179383,,"44.3286335361","26.077542541",10388,"JILAVA"
"Liteni","Suceava","SV",149227,,"47.5204904962","26.5282990382",10366,"LITENI"
