"slug","nume"
"listaAgentii","Lista agențiilor de turism licențiate"
"listaAgentiiRadiate","Lista agențiilor de turism a căror licență sau anexă a licenței a fost radiată"
"listaAgentiiRetrase","Lista agențiilor de turism a căror licență sau anexă a licenței a fost retrasă"
"listaCazari","Lista structurilor de primire turistice cu funcțiuni de cazare"
"listaCazariRadiate","Lista structurilor de primire turistice cu funcțiuni de cazare radiate"
"listaCazariRetrase","Lista structurilor de primire turistice cu funcțiuni de cazare retrase"
"listaAlimentatie","Lista structurilor de primire turistice cu funcțiuni de alimentație publică"
"listaAlimentatieRadiate","Lista structurilor de primire turistice cu funcțiuni de alimentație publică radiate"
"listaAlimentatieRetrase","Lista structurilor de primire turistice cu funcțiuni de alimentație publică retrase"
"listaPartii","Lista pârtiilor de schi omologate"
"listaStatiuni","Lista localităților atestate ca stațiuni turistice de interes național, respectiv local"
"listaGhizi","Lista ghizilor de turism atestați"
"listaCentreInformare","Lista Centrelor Naționale și Locale de Informare și Promovare Turistică acreditate"
