consilier,http://posturi.gov.ro/anunt/consilier-34/,INSTITUTIA PREFECTULUI JUDEȚUL BRAȘOV,"Funcție contractuală, Prefecturi, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Braşov,http://posturi.gov.ro/?judet=Braşov,Permanent
"ingrijitor, post vacant, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/ingrijitor-post-vacant-pe-perioada-nedeterminata-39/,"Școala Gimnazială Nr 1 Aghireș, județul Sălaj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Sălaj,http://posturi.gov.ro/?judet=Sălaj,Permanent
ASISTENT MEDICAL GENERALIST (18 Posturi),http://posturi.gov.ro/anunt/asistent-medical-generalist-18-posturi/,Spitalul Clinic Județean de Urgență Sibiu,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
BIBLIOTECAR IA,http://posturi.gov.ro/anunt/bibliotecar-ia-3/,BIBLIOTECA ASTRA SIBIU,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
SECRETAR (S) DEBUTANT,http://posturi.gov.ro/anunt/secretar-s-debutant/,USAMV CLUJ-NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
Kinetoterapeut,http://posturi.gov.ro/anunt/kinetoterapeut-8/,UNITATEA MEDICO-SOCIALA OCNA MURES,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  22/09/2023,Alba,http://posturi.gov.ro/?judet=Alba,Temporar
"muncitor calificat, studii medii",http://posturi.gov.ro/anunt/muncitor-calificat-studii-medii/,LICEUL DE ARTE ”H. DARCLEE”,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  6/10/2023,Brăila,http://posturi.gov.ro/?judet=Brăila,Permanent
îngrijitor,http://posturi.gov.ro/anunt/ingrijitor-433/,Grădiniţa cu Program Prelungit Campionii,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
REFERENT DE SPECIALITATE DEBUTANT,http://posturi.gov.ro/anunt/referent-de-specialitate-debutant-16/,"Primăria Adunațaii-Copaceni, județul Giurgiu","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Giurgiu,http://posturi.gov.ro/?judet=Giurgiu,Permanent
ÎNGRIJITOR,http://posturi.gov.ro/anunt/ingrijitor-432/,GRĂDINIȚA cu program prelungit nr. 33 sibiu,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  3/10/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
administrator patrimoniu GRAD 3 (S),http://posturi.gov.ro/anunt/administrator-patrimoniu-grad-3-s/,USAMV CLUJ-NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
casier,http://posturi.gov.ro/anunt/casier-23/,Grădiniţa cu Program Prelungit Campionii,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
Șef serviciu artă,http://posturi.gov.ro/anunt/sef-serviciu-arta/,Muzeul de Artă Brașov,"Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 15 septembrie,2023",Expiră in  3/10/2023,Braşov,http://posturi.gov.ro/?judet=Braşov,Permanent
Conservator opere de arta 2,http://posturi.gov.ro/anunt/conservator-opere-de-arta-2/,Muzeul de Artă Constanța,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  22/09/2023,Constanţa,http://posturi.gov.ro/?judet=Constanţa,Temporar
Îngrijitor clădiri,http://posturi.gov.ro/anunt/ingrijitor-cladiri-14/,USAMV CLUJ-NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
2 posturi medici veterinari debutanti,http://posturi.gov.ro/anunt/2-posturi-medici-veterinari-debutanti/,USAMV CLUJ NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  22/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Temporar
ÎNGRIJITOARE,http://posturi.gov.ro/anunt/ingrijitoare-93/,"Colegiul Naţional ,,Sfântul Sava”, București","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
Referent II- Aparare civila si Evidenta militara,http://posturi.gov.ro/anunt/referent-ii-aparare-civila-si-evidenta-militara-2/,serviciul de ambulanta bucuresti-ilfov,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
MUNCITOR ÎNTREȚINERE,http://posturi.gov.ro/anunt/muncitor-intretinere-23/,"Școala Gimnazială Bainet, Comuna Musenita, Județul Suceava","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  22/09/2023,Suceava,http://posturi.gov.ro/?judet=Suceava,Temporar
ECONOMIST DEBUTANT,http://posturi.gov.ro/anunt/economist-debutant-14/,SPITALUL ORASENESC GAESTI,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Dâmboviţa,http://posturi.gov.ro/?judet=Dâmboviţa,Permanent
"administrator financiar (Contabil șef), post vacant, pe perioadă nedeterminată;",http://posturi.gov.ro/anunt/administrator-financiar-contabil-sef-post-vacant-pe-perioada-nedeterminata/,"Școala Gimnazială ”Octavian Goga”,  Cluj-Napoca,  județul Cluj","Funcție contractuală, Instituții județene, Funcții de conducere","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
ÎNGRIJITOARE CLADIRI,http://posturi.gov.ro/anunt/ingrijitoare-cladiri-6/,USAMV CLUJ-NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
îngrijitoare clădiri,http://posturi.gov.ro/anunt/ingrijitoare-cladiri-5/,USAMV CLUJ-NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
"fochist, electrician, zugrav, instalator, lăcătuș mecanic, laborant determinări fizico-chimice",http://posturi.gov.ro/anunt/fochist-electrician-zugrav-instalator-lacatus-mecanic-laborant-determinari-fizico-chimice/,Spitalul Clinic Judetean de Urgență Târgu Mureș,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Mureş,http://posturi.gov.ro/?judet=Mureş,Permanent
SECRETAR l (S),http://posturi.gov.ro/anunt/secretar-l-s/,USAMV CLUJ-NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
Medic specialist psihiatrie,http://posturi.gov.ro/anunt/medic-specialist-psihiatrie-6/,Spitalul de Psihiatrie și pentru Măsuri de Siguranță Pădureni- Grajduri,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Permanent
Muncitor calificat (buldoexcavatorist),http://posturi.gov.ro/anunt/muncitor-calificat-buldoexcavatorist-2/,Consiliul Local Nanov-Serviciul Apa-Canal,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Teleorman,http://posturi.gov.ro/?judet=Teleorman,Permanent
1 post medic specialist- specialitatea EPIDEMIOLOGIE,http://posturi.gov.ro/anunt/1-post-medic-specialist-specialitatea-epidemiologie/,SPITALUL ORASENESC GAESTI,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Dâmboviţa,http://posturi.gov.ro/?judet=Dâmboviţa,Permanent
medic specialist  cu studii s,http://posturi.gov.ro/anunt/medic-specialist-cu-studii-s/,DGASPC HR,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  2/10/2023,Harghita,http://posturi.gov.ro/?judet=Harghita,Permanent
sofer,http://posturi.gov.ro/anunt/sofer-78/,INSTITUTIA PREFECTULUI JUDEȚUL BRAȘOV,"Funcție contractuală, Prefecturi, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Braşov,http://posturi.gov.ro/?judet=Braşov,Permanent
REFERENT,http://posturi.gov.ro/anunt/referent-37/,"Primăria Oraș Miercurea Sibiului, județul Sibiu","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
"inspector de specialitate, economist, auditor",http://posturi.gov.ro/anunt/inspector-de-specialitate-economist-auditor/,"Spitalul Clinic Județean de Urgență Târgu Mureș, județul Mureș","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Mureş,http://posturi.gov.ro/?judet=Mureş,Permanent
mediator școlar,http://posturi.gov.ro/anunt/mediator-scolar-15/,"ȘCOALA GIMNAZIALĂ OSTROVENI, județul Dolj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Dolj,http://posturi.gov.ro/?judet=Dolj,Permanent
SECRETAR ÎNVĂȚĂMÂNT PREȘCOLAR DEBUTANT/S,http://posturi.gov.ro/anunt/secretar-invatamant-prescolar-debutant-s/,Grădinița cu Program Prelungit „Primii Pași” Pitești,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
sef birou Achizitii si licitatii publice,http://posturi.gov.ro/anunt/sef-birou-achizitii-si-licitatii-publice-2/,USAMV CLUJ NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de conducere","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
medic specialist in specialitatea oncologie,http://posturi.gov.ro/anunt/medic-specialist-in-specialitatea-oncologie-5/,Spitalul Județean de Urgență Alexandria,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Teleorman,http://posturi.gov.ro/?judet=Teleorman,Permanent
laborant invatamant gr. 1a,http://posturi.gov.ro/anunt/laborant-invatamant-gr-1a/,USAMV CLUJ NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
casier,http://posturi.gov.ro/anunt/casier-24/,Grădiniţa cu Program Prelungit Campionii ,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
MUZEPGRAF GR.IA,http://posturi.gov.ro/anunt/muzepgraf-gr-ia/,COMPLEXUL NAȚIONAL MUZEAL ASTRA Sibiu,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
"administrator, muncitor calificat (bucătar)",http://posturi.gov.ro/anunt/administrator-muncitor-calificat-bucatar-2/,Direcția Generală de Asistență Socială și Protecția Copilului Cluj,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
îngrijitor grupă învățământ preșcolar,http://posturi.gov.ro/anunt/ingrijitor-grupa-invatamant-prescolar-2/,"Grădinița cu Program Prelungit nr.29, Brașov, județul Brașov","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Braşov,http://posturi.gov.ro/?judet=Braşov,Permanent
"administrator financiar gr. lll (S), Direcția Economica",http://posturi.gov.ro/anunt/administrator-financiar-gr-lll-s-directia-economica-2/,USAMV CLUJ-NAPOCA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
"director club sportiv, post vacant, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/director-club-sportiv-post-vacant-pe-perioada-nedeterminata/,"UAT oraş Murfatlar, localitatea Murfatlar,  județul Constanţa","Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Constanţa,http://posturi.gov.ro/?judet=Constanţa,Permanent
"Referent, treaptă profesională debutant",http://posturi.gov.ro/anunt/referent-treapta-profesionala-debutant/,"Primăria comunei SCHITU, județul Olt","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Olt,http://posturi.gov.ro/?judet=Olt,Permanent
paznic,http://posturi.gov.ro/anunt/paznic-103/,"LICEUL TEHNOLOGIC ECONOMIC DE TURISM, IAȘI","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Permanent
7 posturi contractuale DE EXECUȚIE,http://posturi.gov.ro/anunt/7-posturi-contractuale-de-executie/,Institutul național de statistică,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Temporar
"referent de specialitate, îngrijitor, muncitor necalificat",http://posturi.gov.ro/anunt/referent-de-specialitate-ingrijitor-muncitor-necalificat/,UNIVERSITATEA DIN BUCURESTI,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
director adjunct (economic),http://posturi.gov.ro/anunt/director-adjunct-economic-3/,BIBLIOTECA JUDETEANA OCTAVIAN GOGA CLUJ,"Funcție contractuală, Instituții județene, Funcții de conducere","Publicat în: 15 septembrie,2023",Expiră in  28/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
bibliotecar,http://posturi.gov.ro/anunt/bibliotecar-47/,Liceul Teoretic „Ion Creangă” Tulcea,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 15 septembrie,2023",Expiră in  29/09/2023,Tulcea,http://posturi.gov.ro/?judet=Tulcea,Permanent
