id,timefirst,timelast,timelocal,latitude,longitude,altitude,speed,city,country,placement,versionsw,versionhw,status,mobile,detector,factor,detector2,factor2,note,picture,aqi,owner,errors,faulty,param_temperature,avg_temperature,last_temperature,param_pressure,avg_pressure,last_pressure,param_humidity,avg_humidity,last_humidity,param_voc,avg_voc,last_voc,param_vocaqi,avg_vocaqi,last_vocaqi,param_noise,avg_noise,last_noise,param_co2,avg_co2,last_co2,param_ch2o,avg_ch2o,last_ch2o,param_o3,avg_o3,last_o3,param_pm1,avg_pm1,last_pm1,param_pm25,avg_pm25,last_pm25,param_pm10,avg_pm10,last_pm10
8200026D,1591736287,1786842105,24000,47.174244,27.551708,40,,Iasi,RO,1,76,108,1.0,,SI29BG,0.01,SI29BG,0.01,Sos.Pacurari-Str.Canta(langarestMoaradeFoc),,5.0,6745,3.0,"pm1,pm25,pm10","['Temperature', '°C']",20.69,18.74,"['Pressure', 'Pa']",101346,101339.0,"['Humidity', '%RH']",61.52,66.60,"['VOC', 'Ohm']",2105914,1618066.0,"['VOCAQI', 'aqi']",360,408,"['Noise', 'dB']",98.24,98.00,"['CarbonDioxide', 'ppm']",400,400.0,"['Formaldehyde', 'ppb']",0,0.0,"['Ozone', 'ppb']",0,0.0,,,,,,,,,
8200026E,1591737077,1786842218,17100,47.14717,27.582169,44,,Iasi,RO,1,76,108,1.0,,SI29BG,0.01,SI29BG,0.01,NicolaeIorga-SosNicolina,https://www.uradmonitor.com/wp-content/uploads/2020/07/8200026E.jpg,1.0,6745,,,"['Temperature', '°C']",18.13,17.99,"['Pressure', 'Pa']",101346,101346.0,"['Humidity', '%RH']",65.00,65.60,"['VOC', 'Ohm']",927340,1652250.0,"['VOCAQI', 'aqi']",271,168,"['Noise', 'dB']",99.20,99.00,"['CarbonDioxide', 'ppm']",400,400.0,"['Formaldehyde', 'ppb']",0,0.0,"['Ozone', 'ppb']",0,0.0,"['PM1.0', 'µg/m³']",3.0,3.0,"['PM2.5', 'µg/m³']",4.0,4.0,"['PM10', 'µg/m³']",4.0,4.0
8200026F,1591740898,1786842172,17100,47.166035,27.571083,40,,Iasi,RO,1,76,108,1.0,,SI29BG,0.01,SI29BG,0.01,\0Str.Garii-Silvestru(vis-a-visdeMcDonalds),,1.0,6745,,,"['Temperature', '°C']",21.07,20.79,"['Pressure', 'Pa']",101321,101309.0,"['Humidity', '%RH']",59.08,60.60,"['VOC', 'Ohm']",3580130,3438046.0,"['VOCAQI', 'aqi']",378,386,"['Noise', 'dB']",99.00,99.00,"['CarbonDioxide', 'ppm']",400,400.0,"['Formaldehyde', 'ppb']",0,0.0,"['Ozone', 'ppb']",0,0.0,"['PM1.0', 'µg/m³']",2.0,4.0,"['PM2.5', 'µg/m³']",3.0,6.0,"['PM10', 'µg/m³']",3.0,6.0
82000270,1591817242,1786841943,3900,47.153612,27.570708,40,,Iasi,RO,1,76,108,1.0,,SI29BG,0.01,SI29BG,0.01,\0PantelionHalipa-Galata(vis-a-visdebiserica),https://www.uradmonitor.com/wp-content/uploads/2020/07/82000270.jpg,1.0,6745,,,"['Temperature', '°C']",20.92,20.51,"['Pressure', 'Pa']",101414,101406.0,"['Humidity', '%RH']",59.52,60.60,"['VOC', 'Ohm']",4201788,4025988.0,"['VOCAQI', 'aqi']",377,388,"['Noise', 'dB']",99.00,99.00,"['CarbonDioxide', 'ppm']",404,400.0,"['Formaldehyde', 'ppb']",0,0.0,"['Ozone', 'ppb']",0,0.0,"['PM1.0', 'µg/m³']",1.0,0.0,"['PM2.5', 'µg/m³']",2.0,1.0,"['PM10', 'µg/m³']",2.0,1.0
82000271,1591820880,1786841935,14700,47.147448,27.59205,40,,Iasi,RO,1,76,108,1.0,,SI29BG,0.01,SI29BG,0.01,\0NicolaeIorga-Socola-Primaverii,,1.0,6745,,,"['Temperature', '°C']",19.13,18.88,"['Pressure', 'Pa']",101357,101355.0,"['Humidity', '%RH']",59.20,60.00,"['VOC', 'Ohm']",970177,942400.0,"['VOCAQI', 'aqi']",439,446,"['Noise', 'dB']",98.00,98.00,"['CarbonDioxide', 'ppm']",400,400.0,"['Formaldehyde', 'ppb']",0,0.0,"['Ozone', 'ppb']",0,,"['PM1.0', 'µg/m³']",3.0,2.0,"['PM2.5', 'µg/m³']",4.0,3.0,"['PM10', 'µg/m³']",4.0,3.0
82000272,1591823984,1786842200,21900,47.158877,27.585787,40,,Iasi,RO,1,76,108,1.0,,SI29BG,0.01,SI29BG,0.01,\0AnastasiePanu-StefanCelMare-Str.Palat,,1.0,6745,,,"['Temperature', '°C']",19.85,19.41,"['Pressure', 'Pa']",101270,101257.0,"['Humidity', '%RH']",62.01,62.90,"['VOC', 'Ohm']",3437689,3213650.0,"['VOCAQI', 'aqi']",375,389,"['Noise', 'dB']",99.00,99.00,"['CarbonDioxide', 'ppm']",400,400.0,"['Formaldehyde', 'ppb']",0,0.0,"['Ozone', 'ppb']",0,0.0,"['PM1.0', 'µg/m³']",2.0,2.0,"['PM2.5', 'µg/m³']",3.0,3.0,"['PM10', 'µg/m³']",3.0,3.0
82000273,1591830779,1786842189,5700,47.172837,27.53304,40,,Iasi,RO,1,76,108,1.0,,SI29BG,0.01,SI29BG,0.01,Sos.Pacurari-Str.Rediu(rondgamalangamazazin),,1.0,6745,,,"['Temperature', '°C']",21.42,21.77,"['Pressure', 'Pa']",101324,101311.0,"['Humidity', '%RH']",60.10,59.90,"['VOC', 'Ohm']",2138314,1987443.0,"['VOCAQI', 'aqi']",167,178,"['Noise', 'dB']",99.35,99.00,"['CarbonDioxide', 'ppm']",400,400.0,"['Formaldehyde', 'ppb']",0,0.0,"['Ozone', 'ppb']",0,0.0,"['PM1.0', 'µg/m³']",3.0,3.0,"['PM2.5', 'µg/m³']",4.0,4.0,"['PM10', 'µg/m³']",4.0,4.0
82000274,1591830775,1706617918,14100,47.157055,27.574677,40,,Iasi,RO,1,76,108,,,SI29BG,0.01,SI29BG,0.01,NicolaeIorga-SoseauaNationala(PodudePiatra),,1.0,6745,,,"['Temperature', '°C']",7.53,,"['Pressure', 'Pa']",103370,,"['Humidity', '%RH']",54.90,,"['VOC', 'Ohm']",5773844,,"['VOCAQI', 'aqi']",0,0,,,,"['CarbonDioxide', 'ppm']",400,,"['Formaldehyde', 'ppb']",0,,"['Ozone', 'ppb']",0,,"['PM1.0', 'µg/m³']",6.0,,"['PM2.5', 'µg/m³']",8.0,,"['PM10', 'µg/m³']",8.0,
82000275,1591830768,1786842201,28800,47.161738,27.594688,40,,Iasi,RO,1,76,108,1.0,,SI29BG,0.01,SI29BG,0.01,\0AnastasiePanu-ElenaDoamna(H.Europa),,1.0,6745,,,"['Temperature', '°C']",18.15,17.71,"['Pressure', 'Pa']",101166,101157.0,"['Humidity', '%RH']",67.16,68.90,"['VOC', 'Ohm']",1357995,1272124.0,"['VOCAQI', 'aqi']",439,450,"['Noise', 'dB']",98.00,98.00,"['CarbonDioxide', 'ppm']",400,400.0,"['Formaldehyde', 'ppb']",0,0.0,"['Ozone', 'ppb']",0,0.0,"['PM1.0', 'µg/m³']",3.0,3.0,"['PM2.5', 'µg/m³']",4.0,5.0,"['PM10', 'µg/m³']",4.0,5.0
82000276,1591829057,1715709944,17700,47.151555,27.580746,52,,Iasi,RO,1,76,108,,,SI29BG,0.01,SI29BG,0.01,Bd.D.Cantemir-Str.Decebal,,1.0,6745,,,"['Temperature', '°C']",16.95,,"['Pressure', 'Pa']",101508,,"['Humidity', '%RH']",53.08,,"['VOC', 'Ohm']",5227113,,"['VOCAQI', 'aqi']",0,0,,,,"['CarbonDioxide', 'ppm']",400,,"['Formaldehyde', 'ppb']",0,,"['Ozone', 'ppb']",0,,"['PM1.0', 'µg/m³']",1.0,,"['PM2.5', 'µg/m³']",2.0,,"['PM10', 'µg/m³']",2.0,
