judet,uat,echipa_interventie,fond_cinegetic_alungare,data_interventie,longitudine_alungare,latitudine_alungare,numar_raport_alungare,identificare_relocare,fond_cinegetic_relocare,data_relocare,longitudine_relocare,latitudine_relocare,numar_raport_relocare,identificare_eutanasiere,fond_cinegetic_eutanasiere,longitudine_eutanasiere,latitudine_eutanasiere,nr._raport_interventie_eutanasiere,identificare_impuscare,fond_cinegetic_impuscare,longitudine_impuscare,latitudine_impuscare,nr._raport_interventie_impuscare,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de
,BISOCA,"reprezentant IJJ Buzău  ,reprez.UAT, repez AJVPS Buzau",VINTILA VODA 40,,26.654178,45.541874,,,,,,,,,,,,,,,,,,,"Echipa de intevenție s-a intrunit  ca urmre a unui apel la 112 , la fața locului nu a mai fost gasit exemplarul de urs",Alungat,Ioana Diaconescu
,DÂMBOVICIOARA,"Jandarmerie, Primărie, Fond cinegetic",DAMBOVICIOARA 23,,25.176521,45.387749,9518 din23.08.2021,,,,,,,,,,,,,,,,,,La sosirea echipei ursul nu mai era. Acesta omorâse în gospodăria păgubitei Crăciun Georgeta un taur și două oi. Ursul fusese alungat de caini.,Alungat,Marius Dumitru
,BUGHEA DE SUS,"Jandarmerie, Primarie, Fond cinegetic",RAUL TARGULUI 18,,25.025807,45.301981,1500823 din 26.08.2021,,,,,,,,,,,,,,,,,,"Ursul nu a fost găsit, nu au fost produse pagube.",Alungat,Marius Dumitru
,RUCĂR,"Jandarmerie, Fond cinegetic",STOENESTI 20,,25.167023,45.383843,1500829 din 27.08.2021,,,,,,,,,,,,,,,,,Mascul,"Urs de talie mică în gospodărie, ora 23. Echipa de intervenție nu a găsit ursul, nu au fost pagube.",Alungat,Marius Dumitru
,RUCĂR,"Jandarmerie, Primăria Rucăr, Gestionar Fond cinegetic",STOENESTI 20,,25.1608942,45.404931,1500842 din 30.08.2021,,,,,,,,,,,,,,,,,Mascul,Urs în gospodărie ora 5. Ursul a rănit un porc. Urs de talie mare. A fost alungat cu mijloace acustice și luminoase.,Alungat,Marius Dumitru
,BISOCA,"repez IJJ Buzau, reprez.UAT Bisoca,",VINTILA VODA 40,,26.654178,45.541874,,,,,,,,,,,,,,,,,,,"echipa de intervenție  s-a intrunit ca urmare a unui apel 112 , ursul a fost alungat din zona gospodăriilor",Alungat,Ioana Diaconescu
,BISOCA,"reprezentant  IJJ Buzau, reprezentant UAT",VINTILA VODA 40,,26.654178,45.541874,,,,,,,,,,,,,,,,,,,"echipa  de intervenție s-a intrunit  , apel 112, ursul nu mai era in zona",Alungat,Ioana Diaconescu
,BISOCA,"reprezentant IJJ Bz,  reprez  UAT",VINTILA VODA 40,,26.654178,45.541874,,,,,,,,,,,,,,,,,,,Echipa de intervenție a alungat ursul din zona gospadariilor,Alungat,Ioana Diaconescu
,BISOCA,"reprez IJJ, reprez UAT",VINTILA VODA 40,,26.654178,45.541874,,,,,,,,,,,,,,,,,,,"echipa a fost la fata locului dupa un apel 112, ursul nu a mai fost gasit in zona",Alungat,Ioana Diaconescu
,BISOCA,"reprez IJJ Buzau, reprez UAT",VINTILA VODA 40,,26.654178,45.541874,,,,,,,,,,,,,,,,,,,echipa de intervenție a alungat 2 exemplare de urs ce se aflau in curtea unei gospodării sat Lacuri Bisoca,Alungat,Ioana Diaconescu
,BISOCA,"reprezentant IJJ Bz, reprezentant UAT Bisoca, reprez AJVPS Bz",VINTILA VODA 40,,26.654178,45.541874,,,,,,,,,,,,,,,,,,,Echipa a intreprins actiuni de alungare a unui exemplar de urs ce a patruns in gospodăriile localnicilor sat Lacuri,Alungat,Ioana Diaconescu
,DÂMBOVICIOARA,"Jandarmerie, Primarie, Fond cinegetic",DAMBOVICIOARA 23,,45.301981,25.12035,1500885 din 03.09.2021,,,,,,,,,,,,,,,,,Mascul,In gospodarie a fos gasit un porc ranit. S-a patrulat cu semnale acustice si luminoase.,Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Fond cinegetic",RUCAR 22,,45.407411,25.144779,1500911,,,,,,,,,,,,,,,,,Mascul,"Urs patruns in proprietate particulara, ursul nu a fost gasit, nu au fost produse pagube materiale.",Alungat,Petruta Ghica
