judet,uat,echipa_interventie,fond_cinegetic_alungare,data_interventie,longitudine_alungare,latitudine_alungare,numar_raport_alungare,identificare_relocare,fond_cinegetic_relocare,data_relocare,longitudine_relocare,latitudine_relocare,numar_raport_relocare,identificare_eutanasiere,fond_cinegetic_eutanasiere,longitudine_eutanasiere,latitudine_eutanasiere,nr._raport_interventie_eutanasiere,identificare_impuscare,fond_cinegetic_impuscare,longitudine_impuscare,latitudine_impuscare,nr._raport_interventie_impuscare,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de
,SĂRMAŞ,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",MURES 3,,25.45724,46.89057,6840,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,SĂRMAŞ,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",MURES 3,,25.45588,46.871172,6939/28.09.2022,,,,,,,,,,,,,,,,,,Pana la sosirea echipei ursul a parasit gospodaria unde a produs pagube,Alungat,Szabo Szilard
,SĂRMAŞ,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",MURES 3,,25.4429,46.87811,6921,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii.,Alungat,Szabo Szilard
,GHEORGHENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",GHEORGHENI 10,,25.6264,46.72705,16074/28.09.2022,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,GHEORGHENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",GHEORGHENI 10,,25.6269,46.72673,16075/28.09.2022,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,GHEORGHENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",GHEORGHENI 10,,25.62607,46.72697,16140/29.09.2022,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,DRAJNA,"jandarmi, reprez uat, gestionar fc  AJVPS Prahova",CALDARUSANCA 31,,45.260876,26.075561,10491/03.10.2022,,,,,,,,,,,,,,,,,Mascul,Mascul de 4 ani alungat prin semnale luminoase si sonore,Alungat,Crina Popa
,COMARNIC,"jandarmi, viceprimar, gestionar fc AVPS Campina, medic veterinar",COMARNIC 24,,45.2628,25.6305,11672/05.10.2022,,,,,,,,,,,,,,,,,Mascul,"Mascul de 5-6 ani care a omorat o oaie, nu mai era la fata locului, au fost emise semnale acustice si luminoase pentru indepartare",Alungat,Crina Popa
,COMARNIC,"jandarmi, viceprimar, gestionar AVPS Campina, medic veterinar",COMARNIC 24,,45.2628,29.6305,11673/05.10.2022,,,,,,,,,,,,,,,,,Mascul,"Mascul de 5-6 ani  care revine regulat in zona, alungat cu semnale acustice si luminoase",Alungat,Crina Popa
,ŞIEU,"Plt. Adj.Sef - I.J.J BN,  Primar comuna Șieu, Reprezentant gestionar fond cinegetic, Medic Veterinar",SIEUT 29,,24.61071,46.95582,"3809/05,10,2022",,,,,,,,,,,,,,,,,,S-a luat masura alungarii ursului din zona,Alungat,Rus Paul
Harghita,GHEORGHENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,,,,,,GHEORGHENI 10,01-10-2022,25.591944,46.8391667,16321/03.09.2022,,,,,,,,,,,Mascul,"A fost anuntat prin 112 ca ursul a revenit in localitate in str. Cetatii nr.  3.  Pe baza interventiilor repetate de alungare a exemplarului care nu au dat rezultat, echipa a decis capturarea si relocarea acestuia intr-o zona indepartat a aceluiasi fc.",Relocat,Szabo Szilard
,DÂRJIU,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,2022-10-17,,,,,,,,,,,,,,,,MATISENI 45,25.15016,46.205871,8759/19.10.2022,Mascul,"In urma apelului la 112 echipa a deplasat la gospodaria din intravilanul satului Mujna unde ursul de talie mare se afla inca la locul unde a produs pagube in randul animalelor domestice. Riscul fiind considerat mare s-a luat decizia de extragere prin impuscare, actiune ce a fost executata in fata locului de catre personalul gestionarului fc. pe baza contractului incheiat cu UAT.",Împușcare,Szabo Szilard
,PALANCA,Jandarmerie; UAT Palanca ; Personal tehnic gestionar -  AJVPS ;,COTUMBA 3,,,,1/23.06.2022,,,,,,,,,,,,,,,,,Femela cu pui,O femela cu pui a fost alungata cu mijloace acustice si luminoase.,Alungat,Anca Macor
,DITRĂU,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",JOLOTCA 11,,25.495011,46.804474,172/31.10.2022,,,,,,,,,,,,,,,,,Mascul,Echipa de interventie a efectuat alungarea unui exemplar de urs dincentrul comunei prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,RUCĂR,"Jandarmerie, Primărie",RUCAR 22,,45.4424,25.17305,,,,,,,,,,,,,,,,,,,"Ora 00.50. Echipa de interventie s-a deplasat ca urmare a apelului telefonic al d-lui Baros Horia Florin, care a semnalat faptul ca un urs se afla in apropierea  gospodariei sale. Ursul a încercat să intre în gospodărie , însă a fost alungat spre pădure, de către cainii de pază. S-au folosit mijloace acustice si luminoase, pentru asigurarea unui perimetru de siguranță.  Ursul nu a mai fost vazut.",Alungat,Petruta Ghica
Harghita,BĂLAN,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,,,,,Crotalie 007 MADANF VET Chip 642098201187236,BALAN 15,14-11-2022,25.8,46.65,5436/14.11.2022,,,,,,,,,,,Mascul,"Exemplarul de urs care a intrat in mod regulat in intravilanul localitatii a fost capturat cu capcana tip cusca, a fost tranchilizat si eliberat intr-o zona indepartata a celuiasi  fc.",Relocat,Szabo Szilard
,AREFU,"Primăria Arefu, Jandarmerie, fond cinegetic, medic veterinar",AREFU 5,,45.329612,24.294787,6,,,,,,,,,,,,,,,,,Mascul,"Apel telefonic al cetateanului Cazacu Gheorgeh, prin care semnala prezența unui urs, în zona Valea cu Pești, pe partea carosabilă a DN 7C , punând în pericol siguranța și securitatea  oamenilor. Echipa de intervenție a folosit semnale acustice si luminoase pentru îndepărtatea exemplarului de urs de pe partea carosabilă a drumului.",Alungat,Petruta Ghica
,CORUNCA,"Viceprimar, reprezentant jandarmerie,  asociatia vanatoare AV Cocosul, medic veterinar",COCOS 17,,24.613604,46.521071,1413/02.02.2023,,,,,,,,,,,,,,,,,,"Urs alungat din intravilanul localitatii Corunca, judetul Mures",Alungat,Nagy Hajnal
,PRAID,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",IUHOD 38,,25.1669,46.5675,1133/13.02.2023,,,,,,,,,,,,,,,,,,Prezenta ursului in timpul zilei langa pepiniera composesoratului a fost sesizata de catre cetateni.  Ursul care nu se teme de oameni  a fost alungata prin semnale acustice.,Alungat,Szabo Szilard
,BERTEA,"reprezentant jandarmerie, gestionar fc",PALTINET 35,,45.141605,25.509578,3917/17.02.2023,,,,,,,,,,,,,,,,,Mascul,"Mascul prezent in zona Bradatel, s-au facut actiuni de indepartare",Alungat,Crina Popa
,NEHOIU,"IJJ Buzău, reprezentant UAT Nehoiu, reprezentant Gestionarul FC",VALEA NEHOIULUI 32,,45.447124,26.29369,1/2023,,,,,,,,,,,,,,,,,,"In data de 15.02.2023, ora 16, dl Stoica Gheorghe a semnalat prezenta ursului în grădina lui, unde a atacat și mâncat mai multe oi. In localitate Lunca Priporului, la momentul interventiei de urgenta ursul nu a mai fost găsit.",Alungat,Mihaela Ifrim
,BRAŞOV,"Reprezentant UAT , reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",TIMIS 18,,25.547692,45.586938,26851,,,,,,,,,,,,,,,,,Mascul,Ursul se afla în zona pârtiei Lupului. A fost convocată echipa de intervenție luându-se decizia alungare prin metode acustice și olfactive. Exemplarul a fost alungat cu dificulate.,Alungat,Mirela Moisa
,BRAŞOV,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fauna cinegetica",TIMIS 18,,45.586938,25.547692,27314,,,,,,,,,,,,,,,,,Mascul,"Exemplarul se afla în zona pârtia Lupului-Poiana Brașov. A fost convocată echipa de intervenție și exemplarul a fost alungat prin metode acustice, luminoase și olfactive. Exemplarul de urs a fost alungat cu dificultate.",Alungat,Mirela Moisa
,DUMITRIŢA,"Plt. Maj - I.J.J BN,  Primar comuna Dumitrița, Reprezentant gestionar fond cinegetic, persoana apelanta",BUDAC 27,,,,,,,,,,,,,,,,,,,,,,La sosirea echipei de interventie ursul nu a mai fost observat in zona si nu sau semnalat pagube in zona.,Alungat,Rus Paul
,BRAŞOV,"Reprezentant UAT Brașov, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",TIMIS 18,,45.587271,25.552808,33189,,,,,,,,,,,,,,,,,,"Un exemplar de urs, tineret(3-4 ani) a fost identificat repetat în zona Poienii Brașov la pubele de gunoi. Echipa de interventie a alungat exemplarul spre zona unde era instalat echipamentul de capturare. Nu a fost capturat, retrăgându-se în pădure.",Alungat,Mirela Moisa
Hunedoara,BRAŞOV,"Reprezentant UAT Brașov, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,642090003656899,LUNCA CERNII 43,04-03-2023,45.668754,22.467964,33223,,,,,,,,,,,,"Un exemplar de urs brun, tineret(3 ani), capturat din Poiana Brașov, intravilan și relocat în jud.Hunedoara, FC 43 Lunca Cernii(AC Valea Cernei). Acord relocare emis de Garda Forestieră Brașov nr .2378/02.03.2023.",Relocat,Mirela Moisa
,BRAŞOV,"Reprezentant UAT, medic veterinar, reprezentant gestionar fond cinegetic",TIMIS 18,,45.587271,25.552808,33002,,,,,,,,,,,,,,,,,,Un exemplar de urs și-a făcut apariția la pubelele de gunoi din Poiana Brașov. S-a obținut acord de relocare de la GF Brașov. Echipa de interventie cu sprijinul personalului din IPJ Brasov a alungat ursul către cusca instalată pentru relocare. Exemplarul nu a intrat in cusca și s-a retras în zona împădurită.,Alungat,Mirela Moisa
,TÂRGU MUREŞ,"Viceprimar, membrii jandarmerie, reprezentant Asociatie vanatoare, medic veterinar",COCOS 17,,,,16580/351/07.03.2023,,,,,,,,,,,,,,,,,,"Urs alungat din  intravilan mun. Targu Mures, zona Targu Mures ZOO - Platoul Cornest-parc",Alungat,Nagy Hajnal
,BORSEC,"Personal jandarmerie, reprezentant UAT, personal SMURD Corbu",BORSEC 6,,25.54578,46.96174,139/04.03.2023,,,,,,,,,,,,,,,,,Mascul,Echipa de interventie a efectuat alungarea unui exemplar de urs care a intrat si a produs distrugeri in intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,BRAŞOV,"Reprezentant UAT Brașov, reprezentant jandarmerie, medic veterinar, reprezentant gestionar",TIMIS 18,,45.5894126,25.5477723,40160,,,,,,,,,,,,,,,,,Femela cu pui,Echipa de intervenție a alungat în zona împădurită o ursoaică cu pui care se hrăneau din ghena de gunoi a hotelului Rizzo Travel Land din Poiana Brașov. Exemplarele au fost alungate folosindu-se semnale acustice și luminoase.În sprijinul intervenției a participat și un echipaj al IPJ Brașov .,Alungat,Mirela Moisa
,LEREŞTI,"jandarmerie, Primărie, Fond cinegetic",RAUL TARGULUI 18,,452640.0,252033.0,,,,,,,,,,,,,,,,,,,"Domnul Stoica Daniel a anunțat telefonic , în jurul orei 21,00 că un urs a pătruns în zona Camping Voina. Echipa de intervenție s-a deplasat la fața locului și a constatat  că ursul a spart geamul unei rulote staționate în camping și s-a retras la liziera pădurii. S- a patrulat în zonă cu semnale acustice și luminoase.",Alungat,Petruta Ghica
,LEREŞTI,"Jandarmerie, Primărie, Fond cinegetic",,,452640.0,250233.0,,,,,,,,,,,,,,,,,,,"Domnul Stoica daniel a semnalat telefonic, faptul că în zona camping Voina, si-a făcut apariția un urs. Echipa de intervenție s-a deplasat la fața locului și a constatat faptul că un urs a  forțat ușa de acces a unei rulote parcate. În momentul sosirii echipei, ursul nu se mai afla în zonă",Alungat,Petruta Ghica
,SĂCEL,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",BODOGAIA 41,,24.96249,46.33035,389/14.03.2023,,,,,,,,,,,,,,,,,,"In satul Soimusu Mic a avut loc un atac asupra unei persoane in data de 12.03.2023. Gestionarul a monitorizat zona si a cautat exemplarul de urs care a aparut de mai multe ori in localitate. Comisia a decis recoltarea exemplarului dar actiunea nu a putut fi realizata. A fost depistat in apropiere un culcus de urs cu trei pui, care a fost pazit de catre personalul tehnic. La o noua verificare s-a constatat ca femela s-a mutat puii intr-o alta locatie.",Alungat,Szabo Szilard
,BORSEC,"Personal jandarmerie, reprezentant UAT",BORSEC 6,,25.5687,46.97103,177/18.03.2023,,,,,,,,,,,,,,,,,Mascul,"La ora 13.30 echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii, zona Poiana Zanelor, prin mijloace acustice.",Alungat,Szabo Szilard
,POIANA STAMPEI,"Primar U.A.T. Poiana Stampei, Personal Jandarmerie, Personal tehnic gestionar O.S.C. Josenii Bârgăului, medic veterinar împuternicit",DORNISOARA 10,,25.0827693,47.2189214,,,,,,,,,,,,,,,,,,,În data de 17.03.2023 echipa de intervenție a încercat tranchilizarea unui urs în vârstă de aproximativ 5 ani care a pătruns în gospodăriile localnicilor pe raza U.A.T. Poiana Stampei - sat Dornișoara.,Alungat,Florentina Botezat
,POIANA STAMPEI,"Primar U.A.T. Poiana Stampei, Personal Jandarmerie, Personal tehnic Gestionar Fond Cinegetic O.S.C. Josenii Bârgăului, Medic veterinar împuternicit",DORNISOARA 10,,25.0827693,47.2189214,,,,,,,,,,,,,,,,,,,"În data de 17.03.2023 un exemplar de urs a pătruns în gospodăriile oamenilor pe raza U.A.T. Poiana Stampei - sat Dornișoara. S-a încercat tranchilizarea și relocarea exemplarului de urs, dar nu s-a reușit acest lucru.",Alungat,Florentina Botezat
,GHEORGHENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",GHEORGHENI 10,,25.72481,46.72965,5791/30.03.2023,,,,,,,,,,,,,,,,,,Echipa de intervenit in cazul unui exemplar de urs care a ucis un animal domestic in intravilanul localitatii Kovacspeter. Nivelul de risc a fost ca fiind mare dar animalul s-a retras in zona cu vegetatie abundenta.,Alungat,Szabo Szilard
,GHEORGHENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,2023-03-30,,,,,,,,,,,,,,,,GHEORGHENI 10,25.72502,46.72922,5923/31.03.203,Mascul,Proprietarul a anuntat prin nr. 112 ca ursul care a ucis animalul domestic cu o zi inainte a revenit in locatie. Din cauza riscului mare si a comportamentului agresiv echipa a decis extragerea acestuia prin impuscare. Animalul ranit a parasit locatia si in ciuda eforturilor repetate nu a putut fi gasit.,Împușcare,Szabo Szilard
,CORBI,"Jandarmerie, Primarie, Fond cinegetic",CORBI 13,,45.290686,24.800454,,,,,,,,,,,,,,,,,,,"Ursul a patruns în două  gospodării aflate în intravilanul localității Corbi. La sosirea echipei de intervenție ursul nu a mai fost găsit în prima gospodărie, însă a fost observat în cea de a doua gospodărie.",Alungat,Petruta Ghica
,AREFU,"Jandarmerie, Primarie, Fond cinegetic, reprezentant medic veterinar",AREFU 5,,45.321617,24.630493,7,,,,,,,,,,,,,,,,,Femela cu pui,"La sosirea echipei de intervenție , în vecinătatea gospodăriei d-lui Lăzăroiu Mihai și în apropierea pădurii, a fost gasit cadavrul unei ovine. A fost vazută o ursoaică cu pui și au fost folosite semnale acustice si luminoase pentru îndepărtarea spre pădure..",Alungat,Petruta Ghica
,SUSENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",VARSAG 37,,25.521104,46.55669,1176/04.04.2023,,,,,,,,,,,,,,,,,,"Echipa de interventie a efectuat alungarea unui exemplar de urs care a ucis un animal domestic in intravilanul localitatii, postata Motra, prin mijloace acustice si luminoase.",Alungat,Szabo Szilard
,SUSENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",VARSAG 37,,25.5211,46.55669,1177/04.04.2023,,,,,,,,,,,,,,,,,,Echipa a fost convocata pentru faptul ca ursul care a produs paguba la animale domestice a revenit in gospodaria din postata Motra. Animalul a fost alungat prin semnale acustice si luminoase.,Alungat,Szabo Szilard
,NEHOIU,"IJJ Bz, UAT Nehoiu ,  AJVPS Buzau",VALEA NEHOIULUI 32,,,,4571/10.04.2023,,,,,,,,,,,,,,,,,,"Apel 112 atac in gospodarie  , ursul a atacat si omorat un berbec ce se afla la pascut in gradina",Alungat,Ioana Diaconescu
,VIDRA,"reprezentant UAT, plt. adj. Unitatea IJJ Vrancea, gestionar fond cinegetic,  medic veterinar,",MAGURA 25,2023-04-09,,,,,,,,,,,,,,,,MAGURA 25,45.90231,26.993215,2/09.04.2023,Mascul,"conform raportului de  eveniment nr. 2/09.04.2023, ""Decizia a fost de tranchilizare in vederea eliberarii din capcana tip lat si eliberarea in mediul natural. In timpul procedurii de tranchilizare, animalul a devenit extrem de agresiv, atacand echipa de interventie, moment in care latul s-a rupt. Pericolul era iminent, moment in care s-a procedat la impuscarea ursului.""",Împușcare,Radu Sandu
,RÂMNICU VÂLCEA,"Jandarmerie, Reprezentant UAT Rm. Valcea, Personal Tehnic Gestionar",GORANU 16,,450541.0,242529.0,16522,,,,,,,,,,,,,,,,,,"În urma apelului 112, reprezentantul jandarmeriei, reprezentantul UAT Rm Valcea și personalul tehnic gestionarul s-au prezentat la fața locului - cartier Fețeni, au luat legătura cu numitul Răducu Ion, care i-a condus la fosta gospodărie a bunicilor săi, unde au mai mulți stupi. În jurul orei 12 a constatat că 2 stupi îi lipsesc și 4 distruși în totalitate. Din cele constatate la fața locului, rezultă faptul că aceștia au fost distruși de un animal sălbatic (un urs).",Alungat,Anca Dicu
,ŞTEFEŞTI,"jandarmi, viceprimar, reprezentant GFC",PALTINET 35,,45.847885,25.897692,6567/18.04.2023,,,,,,,,,,,,,,,,,Mascul,Mascul de circa 6 ani alungat din zona Scurtesti in urma unui apel la 112,Alungat,Crina Popa
,SUSENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,2023-04-07,,,,,,,,,,,,,,,"RO0810431, RO0810432, RO0810442",VARSAG 37,25.521088,46.556735,1220/07.04.2023,Mascul,Exemplarul de urs care a ucis animale domestice si mai fost alungat din locatie s-a manifestat agresiv fata de echipa de interventie. S-a decis extragere prin impuscare ce a fost efectuat pe loc.,Împușcare,Szabo Szilard
,RÂŞNOV,"Reprezentant UAT, reprezentant gestionar fauna cinegetica",RASNOV 26,,25.471533,45.501137,1,,,,,,,,,,,,,,,,,Mascul,"Apel la Politia Rasnov - sesizata prezenta unui urs in apropierea caselor de pe str.Romulus Cristoloveanu. Echipa de interventie, ajutata de Politie a intervenit si a alungat ursul in fondul forestier",Alungat,Mirela Moisa
,RÂŞNOV,"Reprezentant UAT, reprezentant gestionar fauna salbatica",RASNOV 26,,25.471533,45.501137,2,,,,,,,,,,,,,,,,,Mascul,"In data de 18.04.2023 ora 12,00, a fost sunata Politia Rasnov ca ursul din Vl Popii(alungat anterior) s-a intors si a atacat o capra domestica.Reprezentantul OS al Orasului Rasnov RA , a eliberat capra , dar datorita pericolului s-a hotarat relocarea lui.",Alungat,Mirela Moisa
Brașov,RÂŞNOV,"Reprez UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fauna cinegetica",,,,,,642099000906033,RASNOV 26,18-04-2023,25.471533,45.501137,3,,,,,,,,,,,Mascul,Ursul care a venit de mai multe ori in intravilan a fost capturat in cusca și relocat în zona Provița(FC 26 Râșnov).A fost măsurat și eliberat.,Relocat,Mirela Moisa
,ODORHEIU SECUIESC,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",DEALU 43,,25.2824,46.3277,46549/20.04.2023,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice. Ursul s-a retras in stufaris numai dupa mai multe incercari de alungare.,Alungat,Szabo Szilard
,MĂGURA,"IJJ Buzau, UAT Măgura, AVPS Califarul Alb",MAGURA TISAU 22,,,,1458/19.04.2023,,,,,,,,,,,,,,,,,,"Apel 112 ce sesizeaza ca in stupina  domnului Nichita Gherghita a pătruns un urs , care s-a indepărtat la zgomote.La intrunirea comisiei ursul nu a maifost gasit , dar au ramas in zona ptr a alunga  animalul salbatic .",Alungat,Ioana Diaconescu
,ODORHEIU SECUIESC,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",CALUGARENI 33,,25.29389,46.29457,46771/21.04.2023,,,,,,,,,,,,,,,,,Femela cu pui,Echipa de interventie a efectuat alungarea unei femele de urs cu 3 pui din intravilanul localitatii.,Alungat,Szabo Szilard
,ODORHEIU SECUIESC,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",TAIETURA 44,,25.2824,46.3177,46640/20.04.2023,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin focuri de avertisment.,Alungat,Szabo Szilard
,AREFU,"Jandarmerie, Primărie, Fond cinegetic, reprezentant medic veteriner",AREFU 5,,45.365662,24.628847,8,,,,,,,,,,,,,,,,,Femela cu pui,"La sosirea echipei de intervenție, la fața locului a fost găsită o ursoaică cu trei pui la marginea drumului , care  s-a îndepărtat după aproximativ 1 oră,  prin folosirea mijloacelor sonore și a petardelor. În timpul intervenției a fost observată o altă ursoaică cu 2 pui în zona Cetății Poienari.",Alungat,Petruta Ghica
,VERNEŞTI,"IJJ, UAT, AJVPS Buzau",GRAJDANA 23,,,,2807/02.05.2023 nr inreg UAT,,,,,,,,,,,,,,,,,,Apel 112 cu privire la atacul unui exemplar de urs in gospodarie omorand 16 anumale domestice (13 caprine si 3 ovine),Alungat,Ioana Diaconescu
,MEREI,"IJJ, UAT , AJVPS Buzau",MONTEORU 20,,,,FN,,,,,,,,,,,,,,,,,,Apel 112 exemplare de urs a atacat gospodaria  unui cetatean omorand 3 caprine,Alungat,Ioana Diaconescu
,MEREI,"IJJ, UAT, AVPS Califarul",MONTEORU 20,,,,,,,,,,,,,,,,,,,,,,"Apel 112 la ora 12,30  prezenta ursului in zona locuita sat Valea Putului unde a atacat cu o zi in urmă",Alungat,Ioana Diaconescu
,MEREI,"IJJ , UAT , AVPS Califarul",GURA SARATII 21,,,,FN,,,,,,,,,,,,,,,,,,Apel 112  privind atacul unui exemplar de urs ce a facut pagube a omorat 9 caprine  intr-o gospodarie din satul Sarata Monteoru,Alungat,Ioana Diaconescu
,MEREI,"IJJ, UAT, AJVPS Buzau",MONTEORU 20,,,,FN,,,,,,,,,,,,,,,,,,"Apel 112 cu privire la atacul unui exemplar de urs asupra animalelor domestice  de la Schitul Ciobanoaia, omorand un ied",Alungat,Ioana Diaconescu
,ODORHEIU SECUIESC,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",TAIETURA 44,,25.2824,46.3177,48822/02.05.2023,,,,,,,,,,,,,,,,,,Echipa a participat la constatarea unei pagube produsa de exemplarul de urs care a mai fost alungat din zona de mai multe ori. A fost ucis un magar in curtea gospodariei din intravilan.,Altele,Szabo Szilard
,CORUNCA,"Repr IJJ, viceprimar, reprezentant asociatia de vanatoare",COCOS 17,,24.611557,46.519615,4829/31.03.2023,,,,,,,,,,,,,,,,,,"Urs alungat din intravilanul comunei Corunca, jud Mures., prin mijloace acustice si sonore.",Alungat,Nagy Hajnal
,CORUNCA,"Reprezentant IJJ Mures, viceprimar, reprezentant asociatia de vanatoare",COCOS 17,,24.611557,46519615.0,4829a/31.03.2023,,,,,,,,,,,,,,,,,Mascul,"Urs alungat din itravilanul comunei Corunca, str Dealul Viilor, s-a incercat timp de 2 ore la alungarea animalului. In cele din urma s-a retras in padure.",Alungat,Nagy Hajnal
,CORUNCA,"Reprezentant IJJ Mures, viceprimar, reprezentatnt asociatie de vanatoare",COCOS 17,,24.611557,46.519615,4912/03.04.2023,,,,,,,,,,,,,,,,,Mascul,"Urs alungat din intravilanul comunei Corunca, str Intre Dealuri folosind mijloace acustice  şi sonore precum şi câini de vânătoare",Alungat,Nagy Hajnal
,TÂRGU MUREŞ,"Reperezentant jandarmerie, Primar, reprezentant asociatia de vanatoare, medic veterinar",,,,,,,COCOS 17,10-04-2023,24.3529,46.3511,25841/504/11.04.2023,,,,,,,,,,,Femela cu pui,"Urs in incinta ZOO Mures, intravilan Targu Mures, judetul Mures. Comisia de intervenţia adecis relocarea ursoaicei cu pui intr-un fond cinegetic aprobat de Garda Forestiera Brasov",Relocat,Nagy Hajnal
,CORUNCA,"Reprezentant IJJ Mures, viceprimar, reprezentant fond de vanatoare",COCOS 17,,24.611557,46.519615,5435/12.04.2023,,,,,,,,,,,,,,,,,Mascul,"Urs alungat din intravilanul comunei Corunca, jud Mures,  str Gradinilor, prin mijloace acustice si sonore.",Alungat,Nagy Hajnal
,CORUNCA,"Reprezentant IJJ Mures, viceprimar, reprezentant asociatie de vanatoare",COCOS 17,,24.611557,46.519615,5435a/12.04.2023,,,,,,,,,,,,,,,,,Mascul,"Urs alungat din intravilanul comunei Corunca , judetul Mures, str. Liliacului, nr. 9a,  prin mijloace acustice, sonore",Alungat,Nagy Hajnal
,CORUNCA,"Reprezentant IJJ Mures, viceprimar, reprezentant asociatie de vanatoare",COCOS 17,,,,5515/13.04.2023,,,,,,,,,,,,,,,,,Mascul,"Urs alungat din intravilanul comunei Corunca, str. Liliacului, jud Mures prin mijloace acustice si sonore. S-a incercat tranchilizarea animalului insa acesta s-a retras in padure.",Alungat,Nagy Hajnal
,IBĂNEŞTI,"Reprezentant Jandarmerie Reghin, reprezentant asociatie de vanatoare",TIREU 38,,25.003377,46.778094,4467/20.04.2023,,,,,,,,,,,,,,,,,Mascul,"Urs alungat din intravilanul loc Tireu, com Ibanesti, jud Mures.",Alungat,Nagy Hajnal
,PĂSĂRENI,"Reprezentant IJJ Mures, primar, reprezentant asociatie de vanatoare, medic veterinar",COCOS 17,,,,6178/27.04.2023,,,,,,,,,,,,,,,,,Femela,"Urs alungat din intravilanul comunei Pasareni, judetul Mures prin mijloace sonore si acustice.",Alungat,Nagy Hajnal
,VOŞLĂBENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,2023-05-04,,,,,,,,,,,,,,,,VOSLOBENI 14,25.6252,46.6461,45/04.05.2023,Femela,"Echipa a fost chemata la o gospodarie din intravilan unde un exemplar de urs s-a urcat pe un copac. S-a demarat procedura de tranchilizare si relocare a acestuia dar in momentul administrarii sedativului ursul a coborit si a atacat echipa de interventie, motiv din care a trebuit sa fie impuscat. Pe baza crotaliei din urechea acestuia s-a constatat ca acest exemplar a mai fost capturat si relocat din localitate.",Împuscat Dupa Relocare,Szabo Szilard
