_row_id,event_type,judet,uat,data,lat,long,fond_cinegetic,numar_raport,nr_identificare,echipa_interventie,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de,coord_status
12_alungare,alungare,Dâmbovița,MOROENI,,45.173200,25.250400,VALEA IALOMITEI 16,,,Reprezentant Jandarmerie; Reprezentant UAT Moroeni;Personal tehnic gestionar; Medic veterinar împuternicit,Mascul,"Un exemplar de urs care a fost alungat de mai multe ori, a intrat în mai multe curți și anexe gospodărești. Echipa de intervenția a luat decizia tranchilizării și relocării în zona Orzea, f.c. nr. 16 Valea Ialomiței.",Relocat,Nicoleta Vladescu,
12_relocare,relocare,Dâmbovița,MOROENI,2021-09-08,,,VALEA IALOMITEI 16,,ISO11784/5 FDX-B,Reprezentant Jandarmerie; Reprezentant UAT Moroeni;Personal tehnic gestionar; Medic veterinar împuternicit,Mascul,"Un exemplar de urs care a fost alungat de mai multe ori, a intrat în mai multe curți și anexe gospodărești. Echipa de intervenția a luat decizia tranchilizării și relocării în zona Orzea, f.c. nr. 16 Valea Ialomiței.",Relocat,Nicoleta Vladescu,
13_alungare,alungare,Bistrița-Năsăud,BISTRIŢA BÂRGĂULUI,,47.172530,24.887105,COLIBITA 26,,,"Pl.Adj. , Viceprimar comuna Bistrița Bârgăului ,  reprezentant al gestionarului fc nr.26 Colibița",,pana la sosirea echipei de interventie ursul a parasit zona si sa retras,Alungat,Rus Paul,
14_alungare,alungare,Argeș,RUCĂR,,,,STOENESTI 20,1500672,,"Jandarmerie, Primaria Rucăr, Fond cinegetic",,"Urs în gospodărie, respectiv bucătărie. a fost alungat prin zgomot catre pădure",Alungat,Marius Dumitru,stereo70
15_alungare,alungare,Dâmbovița,PIETROŞIŢA,,45.134080,25.192220,RUNCU 13,,,Reprezentant Jandermerie; Reprezentant UAT Pietroșița; Personal tehnic gestionar; Medic veterinar împuternicit,Femela,Un exemplar de urs din intravilanul localității Dealu Frumos a fost tranchilizat și relocat după evaluarea stării de sănătate în zona împădurită din fondul cinegetic nr. 13 Runcu.,Relocat,Nicoleta Vladescu,
15_relocare,relocare,Dâmbovița,PIETROŞIŢA,2021-09-07,,,RUNCU 13,,,Reprezentant Jandermerie; Reprezentant UAT Pietroșița; Personal tehnic gestionar; Medic veterinar împuternicit,Femela,Un exemplar de urs din intravilanul localității Dealu Frumos a fost tranchilizat și relocat după evaluarea stării de sănătate în zona împădurită din fondul cinegetic nr. 13 Runcu.,Relocat,Nicoleta Vladescu,
16_alungare,alungare,Argeș,LEREŞTI,,,,RAUL TARGULUI 18,1500728 din 16.08.2021,,Jandarmerie,,"Urs în gospodărie la ora 2,3 noaptea. Acesta ranise un porc. A fost alungat prin zgomote.",Alungat,Marius Dumitru,stereo70
17_alungare,alungare,Buzău,BISOCA,,45.541874,26.654178,VINTILA VODA 40,,,"reprezentant IJJ Buzău  ,reprez.UAT, repez AJVPS Buzau",,"Echipa de intevenție s-a intrunit  ca urmre a unui apel la 112 , la fața locului nu a mai fost gasit exemplarul de urs",Alungat,Ioana Diaconescu,
18_alungare,alungare,Argeș,DÂMBOVICIOARA,,45.387749,25.176521,DAMBOVICIOARA 23,9518 din23.08.2021,,"Jandarmerie, Primărie, Fond cinegetic",,La sosirea echipei ursul nu mai era. Acesta omorâse în gospodăria păgubitei Crăciun Georgeta un taur și două oi. Ursul fusese alungat de caini.,Alungat,Marius Dumitru,
19_alungare,alungare,Argeș,BUGHEA DE SUS,,45.301981,25.025807,RAUL TARGULUI 18,1500823 din 26.08.2021,,"Jandarmerie, Primarie, Fond cinegetic",,"Ursul nu a fost găsit, nu au fost produse pagube.",Alungat,Marius Dumitru,
