Pârtie,Stare,Strat zăpadă,Temperatură,Starea zăpezii,Observații,Data actualizării
Drumul Roșu,Buna,30 cm,"-0,4 °C",Buna,La Telescaun se foloseste banda de 18-20m latime !,
Kanzel,Buna,40 cm,"-3,9 °C",Buna,Ceata !!  Zapada viscolita!,
Lupului,Buna,40 cm,"-2,2 °C",Buna,S-ul Mare inchis!  INCHIS Competitie sportiva!,
Sulinar,Buna,30 cm,"-2,4 °C",Buna,Ceata si zapada acumulata in dune!,
