denumire,status,stare,tip,remediere,culoare,Lat,Long
3 Turda,functionale,Functionare normala,-,,#008217,44.456810504696,26.062585322781
5 Margeanului,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.410215,26.06271
Poliția TF,functionale,Functionare normala,-,,#008217,44.448746,26.062853
6 Petre Ispirescu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.415086,26.063427
3 Rahova,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.407012592846,26.063941035003
9 Margeanului,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.411109,26.064209
Modul Paulescu,functionale,Functionare normala,-,,#008217,44.430558,26.064253
4 Petre Ispirescu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.417430763133,26.064395581908
4 Turda,functionale,Functionare normala,-,,#008217,44.455079369792,26.064999367196
5 Petre Ispirescu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.418626206401,26.065070157523
5 Lira,functionale,Functionare normala,-,,#008217,44.422491348652,26.065089121033
Sere GRӐDINA BOTANICӐ,functionale,Functionare normala,-,,#008217,44.436683,26.065105
11 Margeanului,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.413174,26.065173
3 Petre Ispirescu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.415103547395,26.065666162075
Primăria Sectorului 6,functionale,Functionare normala,-,,#008217,44.446201,26.065794
140 – 1 Mai,functionale,Functionare normala,-,,#008217,44.466321,26.065796
I.P.R.E.C.,functionale,Functionare normala,-,,#008217,44.479046,26.065843
IPREC,functionale,Functionare normala,-,,#008217,44.479046,26.065843
2 Petre Ispirescu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.416784243165,26.066134922797
R Grivita,functionale,Functionare normala,-,,#008217,44.452892,26.066208
ROMEXPO S.A. - ITIB 1,functionale,Functionare normala,-,,#008217,44.474805,26.066449
"ITIB 1,2",functionale,Functionare normala,-,,#008217,44.474805,26.066449
Institutul de Chimie Fizică Ilie Murgulescu (ICECHIM),functionale,Functionare normala,-,,#008217,44.441502,26.066817
2 Panduri,functionale,Functionare normala,-,,#008217,44.425583,26.066935
SOFTCHIM,functionale,Functionare normala,-,,#008217,44.442283630371,26.06697
Marinescu,functionale,Functionare normala,-,,#008217,44.434689,26.066986
MINISTERUL CHIMIEI,functionale,Functionare normala,-,,#008217,44.440914154053,26.06721
MFA Panduri,functionale,Functionare normala,-,,#008217,44.427446,26.067354
"bloc 1, bloc 2 (cod PT: 50039)",avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.420016,26.06743
Ct Eroilor 2,functionale,Functionare normala,-,,#008217,44.4317365,26.0675335
Soldat Croitoru,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.405528758357,26.067639004519
4 Rahova,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.407141162962,26.067725393401
2 Rahova,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.409809133109,26.067767241792
3 Sebastian,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.419285,26.06804
7 Sebastian,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.417223,26.068054
K Grivita,functionale,Functionare normala,-,,#008217,44.451418,26.06842
1 Petre Ispirescu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.412716,26.068455
Ct Eroilor 1,functionale,Functionare normala,-,,#008217,44.4308904,26.0685955
Ct Salaj,functionale,Functionare normala,-,,#008217,44.395478,26.068746
Ct Rosetti,functionale,Functionare normala,-,,#008217,44.3954255,26.0688622
ICECHIM,functionale,Functionare normala,-,,#008217,44.44115447998,26.069063
CAMIN 303,functionale,Functionare normala,-,,#008217,44.44030380249,26.06918
2 Turda,functionale,Functionare normala,-,,#008217,44.458148725265,26.069306735287
Institut Igienă,functionale,Functionare normala,-,,#008217,44.436234,26.069331
126-1 Mai,functionale,Functionare normala,-,,#008217,44.464872,26.069466
7 Dinicu Golescu,functionale,Functionare normala,-,,#008217,44.448462,26.069617
PT IPROCHIM,functionale,Functionare normala,-,,#008217,44.44307,26.069872
1 Turda,functionale,Functionare normala,-,,#008217,44.460831279839,26.070118076364
ASAS,functionale,Functionare normala,-,,#008217,44.472439,26.070128
SC 1/2,functionale,Functionare normala,-,,#008217,44.443283081055,26.070346
Av. Sanatescu,functionale,Functionare normala,-,,#008217,44.46557,26.070469
1 Titulescu,functionale,Functionare normala,-,,#008217,44.452098,26.070794
6 Sebastian,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.414421595696,26.07084059149
2 Titulescu,functionale,Functionare normala,-,,#008217,44.450809,26.071028
DTM,functionale,Functionare normala,-,,#008217,44.463692,26.071292
2-1 Mai,functionale,Functionare normala,-,,#008217,44.461927683738,26.071466776364
150 Grivita,functionale,Functionare normala,-,,#008217,44.449723,26.071521
1 Panduri,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.423743263416,26.071555777041
156 Grivita,functionale,Functionare normala,-,,#008217,44.449731,26.071612
MODUL TERMIC Witting,functionale,Functionare normala,-,,#008217,44.442853,26.071616
6 Rahova,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.409858176973,26.071649205607
1 Rahova,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.412972402048,26.071761534219
Spital Municipal,functionale,Functionare normala,-,,#008217,44.436346,26.071948
Vicina,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.406575891751,26.072021090262
Depozit Medicamente,functionale,Functionare normala,-,,#008217,44.46588,26.072363
UNIFARM,functionale,Functionare normala,-,,#008217,44.46588,26.072363
Garnizoana,functionale,Functionare normala,-,,#008217,44.445508,26.072436
Unitatea Militara 02122 Bucuresti,functionale,Functionare normala,-,,#008217,44.445202,26.072578
Tudor Vladimirescu,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.422236390803,26.07291749147
Spitalul Militar Central,functionale,Functionare normala,-,,#008217,44.442386,26.073176
3 Dinicu Golescu,functionale,Functionare normala,-,,#008217,44.445855,26.073419
Miciurin,functionale,Functionare normala,-,,#008217,44.46349,26.073685
148 Grivita,functionale,Functionare normala,-,,#008217,44.448787,26.073705
Gara de Nord,functionale,Functionare normala,-,,#008217,44.447609,26.073923
Primaria Sectorului 1,functionale,Functionare normala,-,,#008217,44.453872,26.073971
2 Sălaj,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.406429200569,26.07423868657
146 Grivita,functionale,Functionare normala,-,,#008217,44.448366,26.074409
Club Steaua,functionale,Functionare normala,-,,#008217,44.440007,26.074465
Spitalul Elias,functionale,Functionare normala,-,,#008217,44.465167,26.074533
3 Sălaj,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.403277768506,26.074804817897
2 Ferentari,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.412463447087,26.075045077416
1 din 13 Septembrie,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.424901860922,26.075102595166
1 Sălaj,functionale,Functionare normala,-,,#008217,44.409725099236,26.075109562074
3 Titulescu,functionale,Functionare normala,-,,#008217,44.45218,26.075444
6-1 Mai,functionale,Functionare normala,-,,#008217,44.463146908263,26.075447858526
Nicolae Racotă,functionale,Functionare normala,-,,#008217,44.463146908263,26.075447858526
MODUL TERMIC Vila 45,functionale,Functionare normala,-,,#008217,44.450728,26.07551
Iacob Negruzzi,functionale,Functionare normala,-,,#008217,44.450728,26.07551
B Dinicu Golescu,functionale,Functionare normala,-,,#008217,44.444327,26.075622
1 Banu Manta,functionale,Functionare normala,-,,#008217,44.455159022004,26.0756306878
9-1 Mai,functionale,Functionare normala,-,,#008217,44.458875,26.075837
5-1 Mai,functionale,Functionare normala,-,,#008217,44.460045,26.076042
Sora,functionale,Functionare normala,-,,#008217,44.44814,26.076057
3-11 Duca,functionale,Functionare normala,-,,#008217,44.44814,26.076057
2 din 13 Septembrie,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.423782682013,26.076210362054
2 Banu Manta,functionale,Functionare normala,-,,#008217,44.454132576451,26.076361108355
Hotel Dunarea,functionale,Functionare normala,-,,#008217,44.447669,26.076376
Muzeul Militar,functionale,Functionare normala,-,,#008217,44.441557,26.076406
"Școala Gimnazială ,,Nicolae Titulescu”",functionale,Functionare normala,-,,#008217,44.45277,26.07649
D3 Gara,functionale,Functionare normala,-,,#008217,44.446825,26.076773
Ct Ferentari 72,functionale,Functionare normala,-,,#008217,44.404549,26.0769497
4 Sălaj,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.408497420113,26.07699868657
Ct Baneasa agronomi,functionale,Functionare normala,-,,#008217,44.4947215,26.0770449
Palatul CFR,functionale,Functionare normala,-,,#008217,44.444102,26.077138
3 Ferentari,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.412249424584,26.07737359091
10-22 Duca,functionale,Functionare normala,-,,#008217,44.448786,26.077618
10-1 Mai,functionale,Functionare normala,-,,#008217,44.457328,26.077704
A Gara,functionale,Functionare normala,-,,#008217,44.445302,26.077775
Ct Vistea,functionale,Functionare normala,-,,#008217,44.3922828,26.0778187
6 Sălaj,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.408966,26.078203
9 Titulescu,functionale,Functionare normala,-,,#008217,44.452477,26.078511
7 Clucerului,functionale,Functionare normala,-,,#008217,44.458744,26.07863
S.C. Informatica Feroviara S.A.,functionale,Functionare normala,-,,#008217,44.443752,26.078679
Ministerul de Chimie (Inst.Politehnic Polizu),functionale,Functionare normala,-,,#008217,44.448616,26.07883
4 Chirigiu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.414500986252,26.078861197097
6 Chirigiu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.416788864916,26.079139902556
Ct Stirbei Voda,functionale,Functionare normala,-,,#008217,44.439713,26.079397
12-1 Mai,functionale,Functionare normala,-,,#008217,44.454305,26.079518
Ct Aleea Trandafirilor,functionale,Functionare normala,-,,#008217,44.4665406,26.0796532
Veronica Micle,functionale,Functionare normala,-,,#008217,44.450703301752,26.079921424412
Ct Scoala Ferentari,functionale,Functionare normala,-,,#008217,44.3924765,26.0802475
8-1 Mai,functionale,Functionare normala,-,,#008217,44.456249,26.080646
Univ. Stiinte Agronom. si Med. Veterinara Buc.- Facultatea de Biotehnologii (CIOS),functionale,Functionare normala,-,,#008217,44.433442,26.080721
Ct Baneasa 1,functionale,Functionare normala,-,,#008217,44.4921402,26.0809988
3 din 13 Septembrie,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.424305273891,26.081255079824
Doina,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.408684,26.081339
Grădiniţa Nr.268 Scoala Nr.128,functionale,Functionare normala,-,,#008217,44.423287,26.081435
Hotel CONTINENTAL,functionale,Functionare normala,-,,#008217,44.429852,26.08192
Atelier Vicarb,functionale,Functionare normala,-,,#008217,44.449766,26.082168
2 P-ta Victoriei,functionale,Functionare normala,-,,#008217,44.451489269822,26.082532012598
MApN,functionale,Functionare normala,-,,#008217,44.429295,26.082604
5 Chirigiu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.416499595498,26.082742952836
Ct Baneasa 2,functionale,Functionare normala,-,,#008217,44.4917551,26.0828596
Ct Pavel Constantin,functionale,Functionare normala,-,,#008217,44.3900175,26.0830356
Ct Ferentari Depou,functionale,Functionare normala,-,,#008217,44.3881308,26.0841628
Ct Baciului,functionale,Functionare normala,-,,#008217,44.3852913,26.0847566
Inst. Geologic al Romaniei - I.G.R. Muzeul Geologic National,functionale,Functionare normala,-,,#008217,44.454905,26.085405
3 P-Ţa Victoriei,functionale,Functionare normala,-,,#008217,44.451267,26.085642
Modul Toporaşi,avarii,Revizie Tehnică CTE Progresu - lipsă parametri pentru livrare apă caldă de consum,Oprire ACC,30.09.2024 23:30,#e0002b,44.391247,26.08617
CASA ACADEMIEI,functionale,Functionare normala,-,,#008217,44.422466,26.087029
Ct Paunasul Codrilor,functionale,Functionare normala,-,,#008217,44.4016134,26.0871995
Aviatorilor & Office Building S.R.L,functionale,Functionare normala,-,,#008217,44.454089,26.087229
2 Ilie Pintilie,functionale,Functionare normala,-,,#008217,44.451554,26.089796
9 Farado,functionale,Functionare normala,-,,#008217,44.385945117558,26.089946635982
6 Farado,functionale,Functionare normala,-,,#008217,44.38686381063,26.090820702892
Giurgiu Farado,functionale,Functionare normala,-,,#008217,44.385540131115,26.091000978619
Izvorul Cosbuc,functionale,Functionare normala,-,,#008217,44.422754,26.0911198
1 Ilie Pintilie,functionale,Functionare normala,-,,#008217,44.452955,26.091503
Ct Doctor Sion,functionale,Functionare normala,-,,#008217,44.439425,26.0917943
12 Giurgiu,functionale,Functionare normala,-,,#008217,44.3904048,26.0918888
103A,functionale,Functionare normala,-,,#008217,44.430967,26.091934
11 Giurgiu,functionale,Functionare normala,-,,#008217,44.3909303,26.092184
1 Giurgiu,functionale,Functionare normala,-,,#008217,44.3925916653,26.092301441168
Ct Victoriei,functionale,Functionare normala,-,,#008217,44.4426509,26.0926711
Ct Luterana,functionale,Functionare normala,-,,#008217,44.4388049,26.0932006
Ct Viilor,functionale,Functionare normala,-,,#008217,44.4079566,26.0933466
Modul Termic - Grădinița nr.228,functionale,Functionare normala,-,,#008217,44.385615,26.09404
2 Serban Voda,avarii,Remediere avarie circuit primar   - Conducta DN 700mm- Piata Eroii Revolutiei cu Bd. Pieptanari,Oprire ACC,24.08.2024 15:30,#e0002b,44.407206059668,26.09422245347
6 Aviatiei,functionale,Functionare normala,-,,#008217,44.485363,26.094529
Modul Termic - Grădinița nr.62,functionale,Functionare normala,-,,#008217,44.3832572,26.0946219
Tudor Gociu,functionale,Functionare normala,-,,#008217,44.373998980552,26.094622082873
Modul Termic - Școala nr.119,functionale,Functionare normala,-,,#008217,44.383198,26.094632
Modul Termic - Grădinița nr.243,functionale,Functionare normala,-,,#008217,44.38183,26.09484
Beller Bitolia,functionale,Functionare normala,-,,#008217,44.461315,26.095018
Ct Gemeni 2,functionale,Functionare normala,-,,#008217,44.4299056,26.0950473
1 Aviatiei,functionale,Functionare normala,-,,#008217,44.480481144407,26.095073647493
Ct Gemeni 1,functionale,Functionare normala,-,,#008217,44.4298825,26.0950782
V.S.Sud,deficiente,Lipsa parametrii pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 23:30,#ffe53e,44.4263824,26.0952135
Ct Turn Palat,functionale,Functionare normala,-,,#008217,44.4373913,26.0952268
Ct Amzei,functionale,Functionare normala,-,,#008217,44.4433436,26.0953565
Almașul Mare,functionale,Functionare normala,-,,#008217,44.383011080574,26.095455589788
5 Aviatiei,functionale,Functionare normala,-,,#008217,44.485812427579,26.095541252097
Spinis,functionale,Functionare normala,-,,#008217,44.3848738,26.0955769
Pieptanari,avarii,Remediere avarie circuit primar   - Conducta DN 700mm- Piata Eroii Revolutiei cu Bd. Pieptanari,Oprire ACC,24.08.2024 15:30,#e0002b,44.4044139,26.095686
VSNord,functionale,Functionare normala,-,,#008217,44.427534,26.096176
Gioconda,functionale,Functionare normala,-,,#008217,44.428604,26.096243
2 Giurgiu,functionale,Functionare normala,-,,#008217,44.39508619812,26.096327333861
Urziceni,functionale,Functionare normala,-,,#008217,44.38011590466,26.096506070751
Livada Noua,functionale,Functionare normala,-,,#008217,44.391970416785,26.096548571872
Scoala Generala Nr.308 - Sala Sport,functionale,Functionare normala,-,,#008217,44.3857631,26.0965993
4 Aviatiei,functionale,Functionare normala,-,,#008217,44.483273237609,26.096636334391
Ct 18 A,functionale,Functionare normala,-,,#008217,44.4376471,26.0967603
Modul Termic - Școala nr.165,functionale,Functionare normala,-,,#008217,44.3796615,26.0972968
2 Dorobanti,functionale,Functionare normala,-,,#008217,44.454707,26.097312
Ct Protopopescu,functionale,Functionare normala,-,,#008217,44.4635696,26.0973931
Ct Dorobanti,functionale,Functionare normala,-,,#008217,44.4561418,26.097922
Casata,functionale,Functionare normala,-,,#008217,44.445504,26.098069
Ct Magheru 7-9,functionale,Functionare normala,-,,#008217,44.4426637,26.0980817
12 Gostat,functionale,Functionare normala,-,,#008217,44.452639,26.098333
1 Stoian Militaru,avarii,Remediere avarie circuit primar   - Conducta DN 700mm- Piata Eroii Revolutiei cu Bd. Pieptanari,Oprire ACC,24.08.2024 15:30,#e0002b,44.399987462908,26.098421911171
Tribunal,functionale,Functionare normala,-,,#008217,44.428549,26.098555
61-63 Dorobanti,functionale,Functionare normala,-,,#008217,44.450254,26.098833
1 Serban Voda,avarii,Remediere avarie circuit primar   - Conducta DN 700mm- Piata Eroii Revolutiei cu Bd. Pieptanari,Oprire ACC,24.08.2024 15:30,#e0002b,44.411041346985,26.098865614202
2 Aviatiei,functionale,Functionare normala,-,,#008217,44.480132787097,26.098884270277
11 Dorobanti,functionale,Functionare normala,-,,#008217,44.448236,26.099704
Perla,functionale,Functionare normala,-,,#008217,44.453627,26.099794
Radu Beller,functionale,Functionare normala,-,,#008217,44.462775003786,26.099819753058
CT Stoian Militaru,functionale,Functionare normala,-,,#008217,44.3950411,26.0998712
Cosmonautilor,functionale,Functionare normala,-,,#008217,44.444995,26.099916
Luica,functionale,Functionare normala,-,,#008217,44.379829215217,26.100213069996
CT Floreasca,functionale,Functionare normala,-,,#008217,44.4628711,26.1002561
2 Vifornita,functionale,Functionare normala,-,,#008217,44.385130342076,26.100341665398
3 Aviatiei,functionale,Functionare normala,-,,#008217,44.483988987903,26.100412519401
Floreasca,functionale,Functionare normala,-,,#008217,44.460711,26.100444
Garajul Parlamentului,functionale,Functionare normala,-,,#008217,44.4181169,26.1004637
Ct Scala,functionale,Functionare normala,-,,#008217,44.4404041,26.1006095
Ct Dunarea,functionale,Functionare normala,-,,#008217,44.4369993,26.1006883
4 Vifornita,functionale,Functionare normala,-,,#008217,44.387629050495,26.101022962633
Modul Bl. 6 Stefan cel Mare,functionale,Functionare normala,-,,#008217,44.4532306,26.1010691
Modul Termic - Centrul de Îngrijire nr.1,functionale,Functionare normala,-,,#008217,44.3820278,26.1013311
2 Stoian Militaru,avarii,Remediere avarie circuit primar   - Conducta DN 700mm- Piata Eroii Revolutiei cu Bd. Pieptanari,Oprire ACC,24.08.2024 15:30,#e0002b,44.3994455,26.1013311
Scoala I Teodoreanu nr.36 - Sala Sport,functionale,Functionare normala,-,,#008217,44.38052,26.10175
Modul Termic - Școala Gimnaziala Ionel Teodoreanu,functionale,Functionare normala,-,,#008217,44.38052,26.10175
Modul Termic - Scoala 110,functionale,Functionare normala,-,,#008217,44.38755,26.10175
Modul Termic - Spitalul Alexandru Obregia ( Creșa 25 ) / Stationar de zi,functionale,Functionare normala,-,,#008217,44.3868396,26.1019417
1 Zona IV,functionale,Functionare normala,-,,#008217,44.381342962667,26.102071038049
Huedin,functionale,Functionare normala,-,,#008217,44.383094497956,26.102480601346
2 Stefan cel Mare,functionale,Functionare normala,-,,#008217,44.452473887142,26.102797744243
P 5 A,deficiente,Lipsa parametrii pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 23:30,#ffe53e,44.425361,26.10306
Ct Marasesti 3,functionale,Functionare normala,-,,#008217,44.4168825,26.1035795
Ct Marasesti 9-10,functionale,Functionare normala,-,,#008217,44.4168825,26.1035795
Modul Termic - Școala nr.129,functionale,Functionare normala,-,,#008217,44.3850163,26.1046421
Ct Marasesti 11,functionale,Functionare normala,-,,#008217,44.4206301,26.1047833
2 Zona V,functionale,Functionare normala,-,,#008217,44.384658526292,26.104838484162
SC Unirea Shoping Center,functionale,Functionare normala,-,,#008217,44.427833,26.104944
Ct Marasesti 6,functionale,Functionare normala,-,,#008217,44.4236355,26.1050042
Modul Termic - Grădinița nr.4,functionale,Functionare normala,-,,#008217,44.3827552,26.1051016
Dealul Cernei,functionale,Functionare normala,-,,#008217,44.381642433902,26.105116901351
Modul Termic - Grădinița nr.207 - Floare Albastra,functionale,Functionare normala,-,,#008217,44.3814854,26.1053206
Modul Termic - Școala nr.99,functionale,Functionare normala,-,,#008217,44.3819968,26.1053684
6 Vifornita,functionale,Functionare normala,-,,#008217,44.378418106443,26.105414245634
Uioara,functionale,Functionare normala,-,,#008217,44.378447,26.105435
Ct Republicii,functionale,Functionare normala,-,,#008217,44.4361953,26.1055177
1 Zona V,functionale,Functionare normala,-,,#008217,44.3866762,26.1056431
Prasilei,functionale,Functionare normala,-,,#008217,44.391916643434,26.105839910673
Barbu Vacarescu,functionale,Functionare normala,-,,#008217,44.4551644,26.1059908
C3 Căuzaşi,functionale,Functionare normala,-,,#008217,44.4276679,26.1060651
Sincai,avarii,Remediere avarie circuit primar - str.Constantin Radulescu Motru.,Oprire ACC,30.08.2024 23:00,#e0002b,44.414173206729,26.10609475495
B 3 Cauzasi,functionale,Functionare normala,-,,#008217,44.4253034,26.1062371
Ct Mozart,functionale,Functionare normala,-,,#008217,44.4613062,26.1062478
Ct Directie,functionale,Functionare normala,-,,#008217,44.4328351,26.1062559
2 Oltenita Placare,avarii,Remediere avarie circuit primar   - Conducta DN 700mm- Piata Eroii Revolutiei cu Bd. Pieptanari,Oprire ACC,24.08.2024 15:30,#e0002b,44.398713669306,26.106476984162
Modul Termic - Liceul Vulcănescu,functionale,Functionare normala,-,,#008217,44.3847419,26.1068081
Modul Termic - Grădinița Nr.225,functionale,Functionare normala,-,,#008217,44.3865416,26.1070864
Curcani,functionale,Functionare normala,-,,#008217,44.380569,26.107296
Norilor,avarii,Remediere avarie circuit primar - str.Constantin Radulescu Motru.,Oprire ACC,30.08.2024 23:00,#e0002b,44.415164746249,26.107789867011
3 Zona V,functionale,Functionare normala,-,,#008217,44.384573375339,26.107981119744
4 Oltenita Placare,avarii,Remediere avarie circuit primar   - Conducta DN 700mm- Piata Eroii Revolutiei cu Bd. Pieptanari,Oprire ACC,24.08.2024 15:30,#e0002b,44.395891612178,26.108230672484
7 Călăraşi,functionale,Functionare normala,-,,#008217,44.4302894,26.1084422
4 Lanariei,avarii,Remediere avarie circuit primar - str.Constantin Radulescu Motru.,Oprire ACC,30.08.2024 23:00,#e0002b,44.416253484323,26.108552873077
Ct Caporal Balan,functionale,Functionare normala,-,,#008217,44.4223084,26.1089162
5 Brancoveanu,functionale,Functionare normala,-,,#008217,44.391537074242,26.109063779842
1 Tineretului,avarii,Remediere avarie circuit primar - (str./Bd.) Constantin Radulescu Motru,Oprire ACC,30.08.2024 23:00,#e0002b,44.412415871448,26.110004686011
3 Stefan cel Mare,functionale,Functionare normala,-,,#008217,44.452411949595,26.110112645531
3 Oltenita Placare,avarii,Remediere avarie circuit primar   - Conducta DN 700mm- Piata Eroii Revolutiei cu Bd. Pieptanari,Oprire ACC,24.08.2024 15:30,#e0002b,44.400524,26.110186
Observator Astronomic,functionale,Functionare normala,-,,#008217,44.40622,26.1103
Aleea Circului,functionale,Functionare normala,-,,#008217,44.4532304,26.1103072
Sala Polivalenta,functionale,Functionare normala,-,,#008217,44.405366,26.110325
2 Tineretului,avarii,Remediere avarie circuit primar - (str./Bd.) Constantin Radulescu Motru,Oprire ACC,30.08.2024 23:00,#e0002b,44.412216611444,26.110353373161
Galvani Tei,avarii,Remediere avarie Retea Primara,Oprire ACC,29.08.2024 23:30,#e0002b,44.459736244268,26.11061765533
Biblioteca Nationala,functionale,Functionare normala,-,,#008217,44.427333,26.110639
Tribunalul Bucuresti,functionale,Functionare normala,-,,#008217,44.427333,26.110639
6 Zona II,functionale,Functionare normala,-,,#008217,44.385173824756,26.110954182958
2 Lanariei,avarii,Remediere avarie circuit primar - str.Constantin Radulescu Motru.,Oprire ACC,30.08.2024 23:00,#e0002b,44.414994429015,26.111062720949
1 Zona II,functionale,Functionare normala,-,,#008217,44.38079632111,26.111328898883
