denumire,status,stare,tip,remediere,culoare,Lat,Long
UM 0276 (0333),functionale,Functionare normala,-,,#008217,44.433415,26.023301
NEFAMILISTI,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.42721177917,26.023468217542
5 Desișului,functionale,Functionare normala,-,,#008217,44.43489925829,26.023706494037
9/4,functionale,Functionare normala,-,,#008217,44.42592757058,26.023833634794
MILITARI - 8 Placare,functionale,Functionare normala,-,,#008217,44.43172205503,26.024172872103
SERE ADP sect. 5,functionale,Functionare normala,-,,#008217,44.40818,26.025608
4 Roșia Montană,functionale,Functionare normala,-,,#008217,44.43741,26.02566
6 Roșia Montană,functionale,Functionare normala,-,,#008217,44.438843977732,26.025660298302
ALPAB BIROURI Ghencea,functionale,Functionare normala,-,,#008217,44.408655,26.026053
SERE ALPAB Ghencea,functionale,Functionare normala,-,,#008217,44.408655,26.026053
UM 0456 (JAND.),functionale,Functionare normala,-,,#008217,44.429629,26.026342
UM 0230 (SAD),functionale,Functionare normala,-,,#008217,44.429629,26.026342
3/7,functionale,Functionare normala,-,,#008217,44.4188427,26.02692112
4/7,functionale,Functionare normala,-,,#008217,44.42169835223,26.027007401616
SC 1/3,functionale,Functionare normala,-,,#008217,44.426407215699,26.027352755069
SC 2/3,functionale,Functionare normala,-,,#008217,44.424825710129,26.027459069307
MILITARI - 4 Placare,functionale,Functionare normala,-,,#008217,44.432847663079,26.027489847615
1/7',functionale,Functionare normala,-,,#008217,44.41661256,26.0277227
3 Dreptății,functionale,Functionare normala,-,,#008217,44.4371,26.02776
3/7',functionale,Functionare normala,-,,#008217,44.413681030273,26.027856
MILITARI - 7 Placare,functionale,Functionare normala,-,,#008217,44.431643490056,26.028715673841
Grădinița nr. 250,functionale,Functionare normala,-,,#008217,44.43813,26.02987
2 Veteranilor,functionale,Functionare normala,-,,#008217,44.436340959676,26.030493178573
3 Virtuții,functionale,Functionare normala,-,,#008217,44.436352149169,26.030516679265
SC 4/3,functionale,Functionare normala,-,,#008217,44.42381426852,26.031043593722
2/7',functionale,Functionare normala,-,,#008217,44.416145324707,26.03119
SC 3/3,functionale,Functionare normala,-,,#008217,44.425688835247,26.031213842144
4 Virtuții,functionale,Functionare normala,-,,#008217,44.441178047714,26.031357548666
2 Virtuții,functionale,Functionare normala,-,,#008217,44.439116515733,26.031849327137
4/7',functionale,Functionare normala,-,,#008217,44.417213439941,26.03202
Ct Desisului,functionale,Functionare normala,-,,#008217,44.444515228271,26.032051086426
13 Liniei,functionale,Functionare normala,-,,#008217,44.43204,26.03209
MILITARI - 5A Placare,functionale,Functionare normala,-,,#008217,44.43271,26.03239
MILITARI - 5 Placare,functionale,Functionare normala,-,,#008217,44.43271428651,26.032447066554
1 Veteranilor,functionale,Functionare normala,-,,#008217,44.43627373843,26.03262811854
1 Virtuții,functionale,Functionare normala,-,,#008217,44.437685374078,26.033021468157
8 Virtuții,functionale,Functionare normala,-,,#008217,44.443182283719,26.033371920951
